asr_result,correct_answer,similarity
打开qq找到张三,最近几天可以洗车吗,0.44592460813842044
热门韩剧,取消预定,0.23661434013448937
讲个儿童故事,海淀区有哪些楼盘,0.3420811027201887
导航去五彩城,北京今天限行吗,0.3646267708482542
导航去朝阳门附近的医院,关节痛是什么原因,0.3772421703917895
热门电影,瞎子摸鱼,nan
达尔文的进化论讲的是什么,汽车发动的声音,0.6111947007712841
打开王俊凯的微博,大江大河,0.1847268299149583
开启全景拍照模式,北京最近几天适合运动吗,0.39615378190388556
肠胃炎怎么办,帮我记一下明天去上海出差,0.41231102143661263
狼来了猜一个水果,经济之声,0.2410292562972302
打开微信扫一扫付款100元,农历五月五号是哪天,0.33741179556762346
生肖猪本月的运势如何,皮卡丘的声音,0.526655527119343
现在工商银行的股价多少,330+46等于多少,0.5409969490477897
今天会出太阳吗,为什么总是头皮痒,0.30581928531025243
雪人兄弟游戏的声音,香港有什么必吃的美食,0.540075439781487
明天可以洗车吗,拍小视频,0.3311012159890357
小猪佩奇自我介绍,一英镑等于多少美元,0.3228192796228942
查一下纽约后天天气怎么样,土拔鼠的声音,0.29591051169804944
播放王菲的歌,今天最高温度多少,0.3385270552598363
帮妈妈叫个车从五道口去西直门,上海市闵行区有哪些小区,0.478065244061083
最近有什么,明天有雾霾吗,0.36428615332765485
我想听张韶涵的歌,过年时拍的照片,0.5620489837544442
你不是人造革,识别文字,0.21751778031865432
今天几跟几限行,太阳系有哪些行星,0.37989589723183587
易烊千玺的生日是哪天,狮子座五大预言,0.4069815980949907
给我来张美女图片,我有一个想法,0.5003359794130509
帮我打开微博本地新闻,腿痛的原因,0.38027860634319754
你几岁了,不同时期对成绩的看法,0.3096903473636449
播放蕊希电台,今天出门需要带伞吗,0.3025563842998742
6月1号是星期几,既然你诚心诚意地发问了,0.33553957704148324
金牛座和处女座的缘分怎么样,降低屏幕亮度,0.32143435952010435
播放米小圈上学记,距离春节还有多少天,0.43556954134325404
白羊座是几月份,怎么称呼爸爸的妹妹,0.3292721822692603
赖床的好处,扁桃体炎怎么办,0.31515345531774847
关闭支付宝,我想查看qq好友的动态,0.44802086451813194
属猪的和什么属相最配,查看qq好友动态,0.3787139237784723
讲个冷笑话,我要听鬼吹灯,0.344219400226517
你会唱歌吗,美国旅游攻略,0.23462054359269563
生肖牛的特点,儿歌茄子,0.3431585335492079
90年出生属什么,说段北京话,0.30677301525687756
