asr_result,correct_answer,similarity
最近几天可以洗车吗,打开便签,0.3349168457850111
取消预订,属蛇的本月的事业运势,0.3378271132035331
海淀区有哪些楼盘,八达岭长城票贵吗,0.42822861379975635
北京今天限行吗,摇个硬币,0.1897188077199652
关节痛是什么原因,双鱼座今日的幸运数字,0.37835129030978276
瞎子摸鱼,唐人街探案是谁演的,nan
汽车发动的声音,我要自拍,nan
大江大河,27岁是属什么的,0.24252014133600167
北京最近几天适合运动吗,下载王者荣耀,0.31915237664218027
帮我记一下明天去上海出差,搜搜文档丢了怎么办,0.5063924959207504
经济之声,我想知道属狗的今年的财运怎么样,0.2709017327157995
农历5月5号是哪天,一吨等于多少千克,0.35071266336689144
皮卡丘的声音,打开相机设置,0.37619498003772267
330加46等于多少,调高屏幕亮度,0.4066484909944844
为什么总是头皮痒,用大众点评看一下我附近的美食,0.38681813548465566
香港有什么必吃的美食,最近上映的电影,0.5125070366388393
拍小视频,广东的美食推荐,0.3676897799822229
一英镑等于多少美元,我想看上周拍的照片,0.37865792539004833
土拨鼠的声音,打开wifi,0.3218675673633748
今天最高温度多少,识别邮箱地址,0.31787248110924465
上海市闵行区有哪些小区,病毒性感冒的传播途径,0.40200100484815876
明天有雾霾吗,海口今天可以穿什么衣服,0.521642088831204
过年时拍的照片,搞笑的动态图,0.588977163668609
识别文字,我想从中关村去天安门,0.24279100870538825
太阳系有哪些行星,我要看海绵宝宝,0.37767013104277664
狮子座五大预言,我要骑摩拜单车,0.15119361355742142
我有一个想法,找壁纸,0.3570054304901529
推动的原因,我想看小狗的图片,0.48283468330820817
不同时期对成绩的看法,养胃的食材,0.48720574135445066
今天出门需要带伞吗,搜索复仇者联盟的预告片,0.3104296993051476
既然你诚心诚意地发问了,打开勿扰模式,0.42370686176896405
降低屏幕亮度,我要问诊,0.40337597594739394
距离春节还有多少天,美好的一天用法语怎么说,0.4527475239659606
怎么称呼爸爸的妹妹,打开虚空引擎,0.33129655422293824
扁桃体炎怎么办,孟子的国籍,0.29895705356399505
