asr_result,correct_answer,similarity
取消预订,上海市汤臣一品的房价,0.39656735174555846
海淀区有哪些楼盘,打开qq找到张三,0.3833395794240769
北京今天限行吗,热门韩剧,0.25459756737170214
关节痛是什么原因,讲个儿童故事,0.3073093746834716
瞎子摸鱼,导航去五彩城,nan
汽车发动的声音,导航去朝阳门附近的医院,0.4992058608898382
大江大河,热门电影,0.2833198905364197
北京最近几天适合运动吗,达尔文的进化论讲的是什么,0.4054591829087596
帮我记一下明天去上海出差,打开王俊凯的微博,0.42036559631644876
经济之声,开启全景拍照模式,0.2549426086122274
农历5月5号是哪天,肠胃炎怎么办,0.34646451471626666
皮卡丘的声音,狼来了猜一个水果,0.43038412306158
330加46等于多少,打开微信扫一扫付款100元,0.5270358183297842
为什么总是头皮痒,生肖猪本月的运势如何,0.39866990617134823
香港有什么必吃的美食,现在工商银行的股价多少,0.5746853853182361
拍小视频,今天会出太阳吗,0.3132143809619835
一英镑等于多少美元,雪人兄弟游戏的声音,0.3099617040913523
土拨鼠的声音,明天可以洗车吗,0.24887769059392323
今天最高温度多少,小猪佩奇自我介绍,0.3031939825031428
上海市闵行区有哪些小区,查一下纽约后天天气怎么样,0.47518911747753717
明天有雾霾吗,播放王菲的歌,0.2673189915465389
过年时拍的照片,帮妈妈叫个车从五道口去西直门,0.44483602017151397
识别文字,最近热吗,0.20557191271652478
太阳系有哪些行星,我想听张韶涵的歌,0.3738210623818662
狮子座五大预言,你不是人造革,0.26382586351775317
我有一个想法,今天几跟几限行,0.37328684032502957
腿痛的原因,易烊千玺的生日是哪天,0.551914551588674
不同时期对成绩的看法,给我来张美女图片,0.37309891821846225
今天出门需要带伞吗,单田芳的评书,0.25431156825272094
既然你诚心诚意地发问了,帮我打开微博本地新闻,0.5073011167252831
降低屏幕亮度,你几岁了,0.2289559694909537
距离春节还有多少天,播放蕊希电台,0.30213456440463154
怎么称呼爸爸的妹妹,六月一号是星期几,0.38621674212249296
扁桃体发炎怎么办,金牛座和处女座的缘分怎么样,0.39696649015960367
我想查看qq好友的动态,播放米小圈上学记,0.4383721232899461
查看qq好友动态,白羊座是几月份,0.27732449569727846
我要听鬼吹灯,赖床的好处,0.27928127847057693
美国旅游攻略,关闭支付宝,0.24425839012814302
儿歌茄子,属猪的和什么属相最配,0.362464283133434
说段北京话,讲个冷笑话,0.626361298134738
天秤座本周的事业运势,你会唱歌吗,0.3110148055178936
远洋山水的绿化率,生肖牛的特点,0.553029510762015
猕猴桃有什么营养,九零年出生属什么,0.5394579161991745
打开相机并且倒计时三秒自拍,上网搜一下王俊凯的照片,0.45319464447726493
赵薇的老公是谁,我想去附近的星巴克,0.584945570334847
11月是什么星座,鼻炎患者需要注意什么,0.4716383026609446
今天的空气质量如何,莲藕与什么食物相克,0.4258551019602229
和女朋友吵架的后果,开始刷机模式,0.4000409308553198
拨打电话给中国银行,搜索便签,0.412469579391806
导航去公司,用微信给爸发两张照片,0.47417036438177296
纸是怎么发明的,赵丽颖的星座,0.5306235170500575
老虎怎么叫,发qq给老爸说天气不错哦,0.4793237640706389
大象怎么叫,吃柚子有什么好处,0.3985305478485296
中国家庭微信群名,今天是阴历几月几号,0.33762941297497556
明天几点日落,北京外地车限行吗,0.3147190394834769
成都明天天气,锁屏,nan
要把大象装冰箱总共分几步,用后置摄像头录像,0.5090628089779649
皮卡丘走路,发朋友圈说我结婚啦,0.3783046134421818
懒床一时爽,我想听摇滚歌曲,0.3294144368658152
宫保鸡丁需要什么食材,北京限行限几环,0.19038583315625024
关闭淘宝,熊猫基地几点开门,0.3334602628170095
什么人不适合吃榛子,怎么预防颈椎病,0.45770885105772385
我的风景照片,小米六配置怎么样,0.3355177631656126
拨打建行电话,打开ofo扫一扫,0.30719425452590965
拨打10086,帮我记一下,0.3671464505755094
最近几天可以穿短裙吗,如何自己在家炸油条,0.49550414665390025
来一首立冬的诗,香港有哪些必吃的美食,0.5368383439702168
今天的pm2点五如何,今天温度怎么样,0.647157808713363
民生银行电话,打车去五道口,0.3791182811815209
给妈妈转账一分钱,关闭热点,0.3021858875525942
查看微信榜单,无名之辈,0.2489864392430523
打开微信,属龙的和属马的在一起好不好,0.26630987663993094
用前置摄像头拍小视频,中秋节是几月几号,0.27066319887710677
我要看电视剧,双子座和什么星座最配,0.3287306499340702
补维生素a应该吃什么,查看妈妈的聊天记录,0.4501992673149906
马化腾的父亲是谁,这是什么,0.42605295290618667
用大众点评搜一下酒店,西藏著名的景点有哪些,0.43670288448816746
和它适宜的人群,看看600036股票当前的行情,0.5487058745962742
小孩不听话怎么办,王羲之的儿子,0.39257934056119737
寒冰飘飘,哈利波特系列,0.2586850955905473
你站在这里不要动我去给你买个橘子,打开微信付款码,0.38711460375862
奇葩说第五季,播放睡前音乐,0.3091918564564647
这是什么花,来段经典相声,0.25751896057829354
调低音量,魂斗罗的声音,0.4037774892697757
属猪的是哪一年生的,布达拉宫要门票吗,0.3391778312993739
狮子座有什么缺点,打开微信扫一扫,0.2986933587720856
火影忍者,我想看漫威电影,0.4743374115250984
陪我聊天,郭德纲的综艺节目,0.2668101242924265
惊蛰是几月几号,吃什么可以安神,0.35337045380150367
马云多大了,音量最大,0.2780452837480879
成都有什么好吃的,麦兜的声音,0.5288767464970989
松鼠怎么叫,我叫黑虎阿福你准备受死吧,0.6119672794746206
我和天上的星星有什么区别呢,读一首古诗,0.31370024552074627
我要充话费,虹膜炎传染吗,0.19815838632389202
打电话给妈妈,最美的告白,0.3074043676387777
6月1日是工作日吗,用支付宝给爸转账一个亿,0.3491909085734086
fm 974,爱琴海购物中心在哪里,0.32044109434757906
毛泽东的毕业院校,打开无线网络,0.26203845700996103
打开支付宝扫一扫,明天星期几,0.3118458760784035
射手座的守护神,池塘里有什么,0.3560833028556904
小猪佩奇,华府景园的物业费,0.3466973900499111
工商银行是涨了还是跌了,静音,0.3005466462789252
北京市华清嘉园的房价,打败小猪佩奇的是谁,0.5340330977429224
工资一万元税后是多少,生肖鼠和生肖牛的缘分怎么样,0.4090190940795746
最近有什么节日,这是什么车,0.568041464505777
用前置摄像头录像,苹果用英语怎么说,0.5499408146197591
生肖猪的性格怎么样,我要听进击的段子,0.5443353834253468
处女座今天有桃花运吗,青莲居士是谁,0.4085177450742041
今天是几月几号,义勇军进行曲的作者是谁,0.5666710356904944
查找便签,十九大主题,0.22528183149739087
帮妈妈叫个快车从中关村去五彩城,关机,0.31973564537699045
蜜桃姐姐讲故事,妈妈的爸爸叫什么,0.4967118489136035
搜索复仇者联盟三的影评,调高音量,0.3004866819289353
取消,进入蜜蜂模式,0.2486510545187431
做鱼香肉丝有什么窍门,关闭勿扰模式,0.32065425950171994
用qq音乐播放告白气球,苹果公司昨日的收盘情况,0.4248526289585695
上网搜搜进京证怎么办,姜文的电影,0.254718074794111
最近几天可以洗车吗,发最近的三张照片到朋友圈说天气真好,0.5693106399348828
赵丽颖的老公,我想看奥斯卡获奖电影,0.45330580247454183
