asr_result,correct_answer,similarity
阿中危险,安装微信,0.19004858033843025
最近需要防晒吗,最近需要防晒吗,1.0
中国挖掘机技术哪家强,中国挖掘机技术哪家强,1.0
都慌去福建的优点,导航去附近的药店,0.6417677029864202
我要看复联三,我要看复联3,nan
今天护士带它的走势如何,今天沪市大盘的走势如何,0.8283970678141385
打开相机,打开相机,1.0000000000000002
2月28号到4月5号有多少天,二月二十八号到四月五号有多少天,0.7615303687714301
杭州市绿城兰园的地址,杭州市绿城兰园的地址,1.0
有危险给本儿语言电话,用微信给爸打语音电话,0.6815759934377129
我想预约订座,我想预约订座,0.9999999999999999
我要听小说,我要听小说,0.9999999999999998
欢乐喜剧人,欢乐喜剧人,0.9999999999999998
播放我的本地音乐,播放我的本地音乐,1.0
我想看猫咪的动图,我想看猫咪的动图,1.0000000000000002
生肖鸡今年多少岁,生肖鸡今年多少岁,1.0
明天适合钓鱼吗,明天适合钓鱼吗,0.9999999999999999
6月27号是什么星座,6月27号是什么星座,1.0000000000000002
北京有什么好玩的,北京有什么好玩的,0.9999999999999999
我要吃吃吃,我要吃吃吃,1.0
稻城亚丁,稻城亚丁,1.0
打开支付宝搜索校园款,打开支付宝搜索校园卡,0.8843624657526076
今天农业银行涨了没,今天农业银行涨了吗,0.8956493705843493
给我找小猪佩奇的表情包,给我找小猪佩奇的表情包,0.9999999999999999
咋参建功变身,战神金刚变身,0.7575179799894757
随便来首歌,随便来首歌,1.0000000000000002
导航回家,导航回家,1.0
小艾我想你了,小爱我想你了,0.9613128143687474
播放权利的游戏,播放权力的游戏,0.9388170502898858
邪不压正,邪不压正,0.9999999999999998
乌龟可以带上地铁吗,乌龟可以带上地铁吗,0.9999999999999999
1983年出生的人属什么,1983年出生的人属什么,1.0000000000000002
单场回家,打车回家,0.7781402938017361
十块钱能干什么,十块钱能干什么,0.9999999999999999
给张三打个电话,给张三打个电话,1.0000000000000002
播放薛之谦的歌,播放薛之谦的歌,1.0
杨幂的微博,杨幂的微博,1.0
你吃饭了没,你吃饭了吗,0.8824219901496615
三月旅游攻略,三亚旅游攻略,0.7791145699619755
无限火球飞,无限火球法,0.6904490025332269
计算机支付是谁,计算机之父是谁,0.8569166354074792
看看蔡徐坤的微博,看看蔡徐坤的微博,1.0
海口明天下雨没,海口明天下雨吗,0.8695714524604037
中秋节怎么放假,中秋节怎么放假,1.0
人类的死的偏执是什么,人类的四大本质是什么,0.8414884638429082
广州最近几天紫外线强吗,广州最近几天紫外线强吗,1.0
冰雹的声音,冰雹的声音,1.0
退出滴滴出行,退出滴滴出行,1.0
给买了个视频电话,给妈打个视频电话,0.8170367544404528
关于处女座的语言,关于处女座的预言,0.8885909540188839
彭丽媛的丈夫,彭丽媛的丈夫,0.9999999999999999
属龙的性格如何,属龙的性格如何,1.0
最近有什么赵丽颖的电视剧,最近有什么赵丽颖的电视剧,1.0000000000000002
我想知道白羊座简单的裁员怎么样,我想知道白羊座今年的财运怎么样,0.8987147307342438
有什么好看的综艺,有什么好看的综艺,1.0000000000000002
治疗高血压方面的抓紧,治疗高血压方面的专家,0.9007903607340809
打开摩拜扫一扫,打开摩拜扫一扫,1.0000000000000002
网站qq他的声音,旺仔qq糖的声音,0.8031284662386675
点开小米商城,打开小米商城,0.8720280588867152
汽车会展,骑车回家,0.3470915096454505
明天天气情况,明天天气情况,1.0
给摇摆摆11700059充话费,给18811700059充话费,0.8646990503313063
打开支付宝,打卡支付宝,0.7533006702861632
播放周星驰的喜剧,播放周星驰的喜剧,0.9999999999999999
呼救被,呼叫爸,0.33542520076960686
电影无双,电影无双,1.0
今天工商银行的行情,今天工商银行的行情,0.9999999999999998
我有一个襄樊以后晚上都喝粥,我有一个想法以后晚上都喝粥,0.9502695477588243
今天适合跑步吗,今天适合跑步吗,1.0
小猪佩奇的声音,小猪佩奇的声音,0.9999999999999998
我想听小惠,我要听笑话,0.5701349057967683
北京朝阳有哪些小区,北京朝阳有哪些小区,1.0000000000000002
关闭摩拜,关闭摩拜,1.0000000000000002
搜索一些王源的监控,搜索一下王源的近况,0.7833423776652598
给本分一分钱红包,给爸发1分钱红包,0.8311467768266991
少数做的星座挂饰,射手座的星座关系,0.7331199012579942
打开酷狗音乐播放本地歌曲,打开酷狗音乐播放本地歌曲,1.0
大黑牛知道是谁,大黑牛指的是谁,0.7949133833869195
用支付宝付20元钱,用支付宝付20元钱,1.0
为什么不该女生抽筋,为什么不跟女生吵架,0.7122766948286867
根本分微信说我没钱了,给爸发微信说我没钱了,0.8988875038637694
用滴滴打车回家,用嘀嘀打车回家,0.9320852607036315
本周日下行吗,本周日限行吗,0.672227947822512
下载去西直门堵不堵,现在去西直门赌不赌,0.6381619489192146
花一个,换一个,0.6975588164318538
查看qq动态,查看qq动态,1.0
起床前的心理活动,起床前的心理活动,1.0
火影忍者全集,火影忍者全集,1.0000000000000002
辅助的专家多点,属猪的今年多大了,0.49256825916057695
人被逼急了什么事都做得出来吗,人被逼急了什么事都做的出来吗,0.9744392313679334
打开支付宝付20块钱,打开支付宝付20块钱,1.0
今天大盘走势如何,今天大盘走势如何,1.0000000000000002
你长什么样子,你长什么样子,1.0
打开微信收款码,打开微信收款码,0.9999999999999999
打开清仓模式,打开清仓模式,1.0
点开马动作物性,打开慢动作录像,0.4425159495600801
用美团订个6月3日的茶味,用美团定个6月3日的餐位,0.967780600374623
识别链接,识别链接,0.9999999999999999
步行导航去附近的超市,步行导航去附近的超市,1.0000000000000002
打开手电筒,打开手电筒,1.0
动漫壁纸,动漫壁纸,1.0000000000000002
金牛座的幸运色,金牛座的幸运色,0.9999999999999999
你会做什么,你会做什么,1.0000000000000002
二的十次方等于多少,2的10次方等于多少,0.7789687409314355
故宫的营业时间,故宫的营业时间,1.0000000000000002
穿着机会的价钱,查找计划的便签,0.5543706500879346
卢浮宫,卢浮宫,1.0000000000000002
天道有轮回,天道有轮回,1.0000000000000002
用拍拍饱经,用怕怕报警,0.6031273745105997
1小时等于多少分钟,一小时等于多少分钟,0.8987856768992524
冲刺,重启,0.27431021636285613
来段四川话,来段四川话,1.0
生肖兔这个月有桃花园吗,生肖兔这个月有桃花运吗,0.9751785660529595
查看历史的qq消息,查看李四的qq消息,0.9376791268315667
使命召唤ol,使命召唤ol,1.0000000000000002
咋听播放,暂停播放,0.6605788258603467
河流的声音,河流的声音,1.0000000000000002
说一个让你烦恼的事,说一个让你烦恼的事,1.0000000000000002
拍快动作视频,拍快动作视频,1.0000000000000002
