asr_result,correct_answer,similarity
打开便签,打开便签,1.0000000000000002
属蛇的本月的事业运势,属蛇的本月的事业运势,0.9999999999999999
白带岭长城票贵吗,八达岭长城票贵吗,0.7569601053734077
有感应的,摇个硬币,0.14848766534571506
双鱼座今日的幸运数字,双鱼座今日的幸运数字,0.9999999999999999
唐人接她啊是谁演的,唐人街探案是谁演的,0.8731879546566534
我有自拍,我要自拍,nan
27岁是属什么的,27岁是属什么的,0.9999999999999999
现在王者荣耀,下载王者荣耀,0.7779685740654512
搜索豌豆丢了怎么办,搜搜文档丢了怎么办,0.8174325599262842
我想知道属狗的今年的财运怎么样,我想知道属狗的今年的财运怎么样,0.9999999999999998
1吨等于多少千克,一吨等于多少千克,0.8892969299104718
打开相机设置,打开相机设置,1.0000000000000002
调高屏幕亮度,调高屏幕亮度,1.0000000000000002
用大众点评看一些我附近的美食,用大众点评看一下我附近的美食,0.9635987235450053
最近上映的电影,最近上映的电影,1.0
广州的美食推荐,广东的美食推荐,0.9304725320386794
我想看上周的一下,我想看上周拍的照片,0.8724089600315484
点开wifi,打开wifi,0.7730381424522023
识别邮箱地址,识别邮箱地址,1.0
病毒性感冒的传播途径,病毒性感冒的传播途径,1.0
嘿嘿今天可以穿什么衣服,海口今天可以穿什么衣服,0.9361385905834547
搞笑的动态图,搞笑的动态图,1.0
我想从中关村到天安门,我想从中关村去天安门,0.9492214174630397
我要看海绵宝宝,我要看海绵宝宝,1.0000000000000002
我有骑摩拜打车,我要骑摩拜单车,0.2047439839445646
周笔畅,找壁纸,0.19042322212411836
我想看小狗的图片,我想看小狗的图片,0.9999999999999998
杨威的食材,养胃的食材,0.8033062392482339
探索复仇者联盟的图预告片,搜索复仇者联盟的预告片,0.8903322982950539
打开勿扰模式,打开勿扰模式,0.9999999999999998
我有网站,我要问诊,0.30104751782351824
美好的一天用英语怎么说,美好的一天用法语怎么说,0.962594551424354
打开虚空燕青,打开虚空引擎,0.821161800918726
孟子的国际,孟子的国籍,0.7377316475142338
我现在在哪里,我现在在哪里,1.0
伦敦现在几点了,伦敦现在几点了,1.0
第二世界之风之风,电视剧知否知否,nan
一美元等于多少人民币,一美元等于多少人民币,1.0
搜索为一直痛怎么办,搜搜胃一直疼怎么办,0.7715961152024918
关于天秤座的神预测,关于天枰座的神预测,0.8562146817800667
点开支付宝付钱,打开支付宝付钱,0.8864955438307291
吃什么可以降火,吃什么可以降火,1.0
男生不和女生吵架的真实原因,男生不和女生吵架的真实原因,1.0000000000000002
小米奥特曼的机会,消灭奥特曼的计划,0.6781540739296501
给尤文201010101充100元话费,给15201010101充100元话费,0.9764038546978974
来点音乐,来电音乐,0.6148244677004501
打开ofo扫一扫,打开ofo扫一扫,1.0000000000000002
你和我的倾城时光,你和我的倾城时光,0.9999999999999999
几点了,几点了,1.0
你的买卖是谁,你的妈妈是谁,0.8962841515670731
吐槽大会第三季,吐槽大会第三季,1.0
用滴滴打车去公司,用嘀嘀打车去公司,0.9469206870700071
早起的好处,早起的好处,1.0000000000000002
用后置摄像头拍小视频,用后置摄像头拍小视频,0.9999999999999999
汽车导航去东直门,骑车导航去东直门,0.893662833588641
条件研究的50,调节音量到50,0.5535829564184245
维尼明灯3000,为你明灯三千,0.542457029434096
来的休闲,蜡笔小新,0.16374439327452817
明天的滋味下降吗,明天的紫外线强吗,0.7706337700387929
昨天吓醒以后,昨天限行尾号,0.645990936032673
