asr_result,correct_answer,similarity
安装微信,安装微信,1.0
最近需要防晒吗,最近需要防晒吗,1.0
中国挖掘机技术哪家强,中国挖掘机技术哪家强,1.0
导航去附近的药店,导航去附近的药店,0.9999999999999999
我要看复联三,我要看复联3,nan
今天护士大盘的走势如何,今天沪市大盘的走势如何,0.9535227726613741
打开相机,打开相机,1.0000000000000002
2月28号到4月5号有多少天,二月二十八号到四月五号有多少天,0.7615303687714301
杭州市绿城兰园的地址,杭州市绿城兰园的地址,1.0
用微信给爸打语音电话,用微信给爸打语音电话,1.0000000000000002
我想预约订座,我想预约订座,0.9999999999999999
我要听小说,我要听小说,0.9999999999999998
欢乐喜剧人,欢乐喜剧人,0.9999999999999998
播放我的本地音乐,播放我的本地音乐,1.0
我想看猫咪的动图,我想看猫咪的动图,1.0000000000000002
生肖鸡今年多少岁,生肖鸡今年多少岁,1.0
明天适合钓鱼吗,明天适合钓鱼吗,0.9999999999999999
6月27号是什么星座,6月27号是什么星座,1.0000000000000002
北京有什么好玩的,北京有什么好玩的,0.9999999999999999
我要吃吃吃,我要吃吃吃,1.0
稻城亚丁,稻城亚丁,1.0
打开支付宝搜索校园卡,打开支付宝搜索校园卡,1.0000000000000002
今天农业银行涨了吗,今天农业银行涨了吗,1.0000000000000002
给我找小猪佩奇的表情包,给我找小猪佩奇的表情包,0.9999999999999999
战神金刚变身,战神金刚变身,1.0
随便来首歌,随便来首歌,1.0000000000000002
导航回家,导航回家,1.0
小爱我想你了,小爱我想你了,1.0
播放权力的游戏,播放权力的游戏,1.0000000000000002
邪不压正,邪不压正,0.9999999999999998
乌龟可以带上地铁吗,乌龟可以带上地铁吗,0.9999999999999999
1983年出生的人属什么,1983年出生的人属什么,1.0000000000000002
打车回家,打车回家,0.9999999999999998
十块钱能干什么,十块钱能干什么,0.9999999999999999
给张三打个电话,给张三打个电话,1.0000000000000002
播放薛之谦的歌,播放薛之谦的歌,1.0
杨幂的微博,杨幂的微博,1.0
你吃饭了吗,你吃饭了吗,1.0
三亚旅游攻略,三亚旅游攻略,1.0000000000000002
无限火球法,无限火球法,1.0
计算机之父是谁,计算机之父是谁,0.9999999999999999
看看蔡徐坤的微博,看看蔡徐坤的微博,1.0
海口明天下雨吗,海口明天下雨吗,1.0
中秋节怎么放假,中秋节怎么放假,1.0
人类的四大本质是什么,人类的四大本质是什么,0.9999999999999999
广州最近几天紫外线强吗,广州最近几天紫外线强吗,1.0
冰雹的声音,冰雹的声音,1.0
退出滴滴出行,退出滴滴出行,1.0
给妈打个视频电话,给妈打个视频电话,1.0
关于处女座的预言,关于处女座的预言,0.9999999999999999
彭丽媛的丈夫,彭丽媛的丈夫,0.9999999999999999
属龙的性格如何,属龙的性格如何,1.0
最近有什么赵丽颖的电视剧,最近有什么赵丽颖的电视剧,1.0000000000000002
我想知道白羊座今年的财运怎么样,我想知道白羊座今年的财运怎么样,1.0000000000000002
有什么好看的综艺,有什么好看的综艺,1.0000000000000002
治疗高血压方面的专家,治疗高血压方面的专家,1.0
打开摩拜扫一扫,打开摩拜扫一扫,1.0000000000000002
放在qq糖的声音,旺仔qq糖的声音,0.9241929939693975
打开小米商城,打开小米商城,1.0
骑车回家,骑车回家,1.0
明天天气情况,明天天气情况,1.0
给18811700059充话费,给18811700059充话费,1.0
打开支付宝,打卡支付宝,0.7533006702861632
播放周星驰的喜剧,播放周星驰的喜剧,0.9999999999999999
呼叫爸,呼叫爸,1.0000000000000002
电影无双,电影无双,1.0
今天工商银行的行情,今天工商银行的行情,0.9999999999999998
我有一个想法以后晚上都喝粥,我有一个想法以后晚上都喝粥,1.0
今天适合跑步吗,今天适合跑步吗,1.0
小猪佩奇的声音,小猪佩奇的声音,0.9999999999999998
我要听笑话,我要听笑话,1.0000000000000002
北京朝阳有哪些小区,北京朝阳有哪些小区,1.0000000000000002
关闭摩拜,关闭摩拜,1.0000000000000002
搜索一下王源的近况,搜索一下王源的近况,1.0
给爸发一分钱红包,给爸发1分钱红包,0.8354894885448726
射手座的星座关系,射手座的星座关系,1.0
打开酷狗音乐播放本地歌曲,打开酷狗音乐播放本地歌曲,1.0
大黑牛指的是谁,大黑牛指的是谁,0.9999999999999999
用支付宝付20元钱,用支付宝付20元钱,1.0
为什么不跟女生吵架,为什么不跟女生吵架,1.0
给爸发微信说我没钱了,给爸发微信说我没钱了,0.9999999999999998
用滴滴打车回家,用嘀嘀打车回家,0.9320852607036315
本周日限行吗,本周日限行吗,1.0
现在去西直门堵不堵,现在去西直门赌不赌,0.7945008126185086
换一个,换一个,0.9999999999999999
查看qq动态,查看qq动态,1.0
起床前的心理活动,起床前的心理活动,1.0
火影忍者全集,火影忍者全集,1.0000000000000002
属猪的今年多大了,属猪的今年多大了,0.9999999999999999
人被逼急了什么事都做得出来吗,人被逼急了什么事都做的出来吗,0.9744392313679334
打开支付宝付20块钱,打开支付宝付20块钱,1.0
今天大盘走势如何,今天大盘走势如何,1.0000000000000002
你长什么样子,你长什么样子,1.0
打开微信收款码,打开微信收款码,0.9999999999999999
打开清仓模式,打开清仓模式,1.0
打开慢动作录像,打开慢动作录像,1.0
用美团订个6月3日的餐位,用美团定个6月3日的餐位,0.9999999999999999
识别连接,识别链接,0.7046064461596382
步行导航去附近的超市,步行导航去附近的超市,1.0000000000000002
打开手电筒,打开手电筒,1.0
动漫壁纸,动漫壁纸,1.0000000000000002
金牛座的幸运色,金牛座的幸运色,0.9999999999999999
你会做什么,你会做什么,1.0000000000000002
二的十次方等于多少,2的10次方等于多少,0.7789687409314355
故宫的营业时间,故宫的营业时间,1.0000000000000002
查找计划的变迁,查找计划的便签,0.8842608836146533
卢浮宫,卢浮宫,1.0000000000000002
天道有轮回,天道有轮回,1.0000000000000002
用papa报警,用怕怕报警,0.9102404501149371
1小时等于多少分钟,一小时等于多少分钟,0.8987856768992524
重启,重启,1.0
来段四川话,来段四川话,1.0
生肖兔这个月有桃花运吗,生肖兔这个月有桃花运吗,1.0000000000000002
查看李斯的qq消息,查看李四的qq消息,0.9832756593320873
使命召唤ol,使命召唤ol,1.0000000000000002
暂停播放,暂停播放,1.0000000000000002
河流的声音,河流的声音,1.0000000000000002
说一个让你烦恼的事,说一个让你烦恼的事,1.0000000000000002
拍快动作视频,拍快动作视频,1.0000000000000002
