asr_result,correct_answer,similarity
上海市汤臣一品的房价,上海市汤臣一品的房价,0.9999999999999998
打开qq找到张帆,打开qq找到张三,0.9416677979989321
热门韩剧,热门韩剧,1.0
讲个儿童故事,讲个儿童故事,0.9999999999999998
导航去五赛车,导航去五彩城,0.6952980374150606
导航去朝阳门附近的医院,导航去朝阳门附近的医院,1.0000000000000002
上海天气,热门电影,0.23846417518238827
打二分的进化论讲的是什么,达尔文的进化论讲的是什么,0.9198839307130154
打开王俊凯的微博,打开王俊凯的微博,0.9999999999999998
开启全景拍照模式,开启全景拍照模式,0.9999999999999999
肠胃炎怎么办,肠胃炎怎么办,1.0000000000000002
狼来了猜一水果,狼来了猜一个水果,0.7436130965977061
打开微信扫一扫付款100元,打开微信扫一扫付款100元,1.0
收藏出门呀他也是如何,生肖猪本月的运势如何,0.5089468103124691
现在工商银行的股价多少,现在工商银行的股价多少,1.0
今天会出太阳吗,今天会出太阳吗,1.0000000000000002
雪人兄弟游戏的声音,雪人兄弟游戏的声音,0.9999999999999999
你可以洗澡吗,明天可以洗车吗,0.7748081605639265
小猪佩奇自我介绍,小猪佩奇自我介绍,1.0
查一下你问今天天气怎么样,查一下纽约后天天气怎么样,0.8012375717625737
播放王菲的歌,播放王菲的歌,1.0000000000000002
帮妈妈叫个车从五道口去西直门,帮妈妈叫个车从五道口去西直门,0.9999999999999998
最新时候吗,最近热吗,0.5885054318055903
我想听张韶涵的歌,我想听张韶涵的歌,1.0
你不是人造革,你不是人造革,0.9999999999999999
今天几个气现象,今天几跟几限行,0.5179139924040813
烊千玺的生日是哪天,易烊千玺的生日是哪天,0.9319195848638601
给我来张美女图片,给我来张美女图片,1.0000000000000002
单田芳的评书,单田芳的评书,1.0
帮我打开微博本地新闻,帮我打开微博本地新闻,0.9999999999999999
你几岁了,你几岁了,0.9999999999999999
播放瑞希电台,播放蕊希电台,0.8620196307798026
6月1号是星期几,六月一号是星期几,0.7579847748271026
请你们和处女座的缘分怎么样,金牛座和处女座的缘分怎么样,0.8871398581492383
播放米小圈上学记,播放米小圈上学记,1.0
白羊座是几月份,白羊座是几月份,1.0000000000000002
赖床的好处,赖床的好处,0.9999999999999999
宽b支付宝,关闭支付宝,0.5758751420403914
输出的和什么属相最配,属猪的和什么属相最配,0.9259196096496249
讲个冷笑话,讲个冷笑话,1.0000000000000002
你会唱歌吗,你会唱歌吗,1.0
手机扭的特点,生肖牛的特点,0.6865500741255371
90年出生属什么,九零年出生属什么,0.8509975604067975
上网搜一下王俊凯的照片,上网搜一下王俊凯的照片,1.0
我想去父亲的星巴克,我想去附近的星巴克,0.9248276716583165
平安患者需要注意什么,鼻炎患者需要注意什么,0.9111000492029045
年后欲什么时候讲课,莲藕与什么食物相克,0.4910062660656179
开始刷机模式,开始刷机模式,1.0000000000000002
说说并且,搜索便签,0.265674945879094
用微信给他发两张照片,用微信给爸发两张照片,0.957584688617129
赵丽颖的星座,赵丽颖的星座,1.0
发qq给老爸说天气不错,发qq给老爸说天气不错哦,0.9765538037995278
吃药水有什么好处,吃柚子有什么好处,0.7951736138748017
今天是阴历几月几号,今天是阴历几月几号,1.0
北京外地车限行吗,北京外地车限行吗,1.0
锁屏,锁屏,nan
永和智上的录像,用后置摄像头录像,0.5161039351834968
发朋友圈说我结婚了,发朋友圈说我结婚啦,0.9488644659174188
我想听摇滚歌曲,我想听摇滚歌曲,1.0
毕竟现行先进还,北京限行限几环,0.2123202313979907
熊猫基地几点开门,熊猫基地几点开门,1.0
怎么预防颈椎病,怎么预防颈椎病,1.0
小米六配置怎么样,小米六配置怎么样,1.0000000000000002
大概会来帮我放一首,打开ofo扫一扫,0.32996552138033214
帮我记一下,帮我记一下,1.0
如何自己在家炸油条,如何自己在家炸油条,1.0
香港有哪些必吃的美食,香港有哪些必吃的美食,1.0
今天温度怎么样,今天温度怎么样,1.0000000000000002
打车去五道口,打车去五道口,1.0000000000000002
关闭热点,关闭热点,1.0000000000000002
无名之辈,无名之辈,1.0000000000000002
属龙的和属马的在一起好不好,属龙的和属马的在一起好不好,0.9999999999999998
中秋节是几月几号,中秋节是几月几号,0.9999999999999998
双子座和什么星座最配,双子座和什么星座最配,0.9999999999999998
查看妈妈的聊天记录,查看妈妈的聊天记录,1.0
这是什么,这是什么,0.9999999999999998
西藏著名的景点有哪些,西藏著名的景点有哪些,1.0
看看刘丽莉莉在聊股票当前的行情,看看600036股票当前的行情,0.8918811684136048
王羲之的儿子,王羲之的儿子,1.0
哈里波特系列,哈利波特系列,0.8131779224440722
打开微信付款吗,打开微信付款码,0.8629101844590383
播放睡前音乐,播放睡前音乐,1.0
集团今天相声,来段经典相声,0.630104946684007
魂斗罗的手机,魂斗罗的声音,0.738315186686687
布达拉宫要门票吗,布达拉宫要门票吗,1.0000000000000002
打开微信扫一扫,打开微信扫一扫,1.0
我想看漫威电影,我想看漫威电影,1.0000000000000002
郭德纲的综艺节目,郭德纲的综艺节目,1.0
吃什么可以安全,吃什么可以安神,0.8670582689444911
新娘最大,音量最大,0.7228126004021457
麦兜的声音,麦兜的声音,1.0
我叫黑寡妇你准备收拾吧,我叫黑虎阿福你准备受死吧,0.9213264053462299
