asr_result,correct_answer,similarity
调高屏幕亮度,打开便签,0.3360753274189446
来点音乐,属蛇的本月的事业运势,0.3328520911563884
我想看蒙面唱将猜猜猜,八达岭长城票贵吗,0.39000593320849203
我想给小李发qq信息说天气真好,摇个硬币,0.29781677907897225
打开便签,双鱼座今日的幸运数字,0.3379595051068906
属蛇的本月的事业运势,唐人街探案是谁演的,0.5810509976749543
八达岭长城票贵吗,我要自拍,nan
摇个硬币,27岁是属什么的,0.25572357788975814
双鱼座今日的幸运数字,下载王者荣耀,0.3749658102526208
唐人街探案是谁演的,搜搜文档丢了怎么办,0.42308710634412167
我要自拍,我想知道属狗的今年的财运怎么样,nan
27岁是属什么的,一吨等于多少千克,0.42907551970780466
下载王者荣耀,打开相机设置,0.4084070999344801
搜索文档丢了怎么办,调高屏幕亮度,0.34725844766683206
我想知道属狗的今年的财运怎么样,用大众点评看一下我附近的美食,0.6574933369932532
1吨等于多少千克,最近上映的电影,0.2915444304534248
打开相机设置,广东的美食推荐,0.32051795226716673
用大众点评看一下我附近的美食,我想看上周拍的照片,0.694539675655897
最近上映的电影,打开wifi,0.3321847428223426
广东的美食推荐,识别邮箱地址,0.3002349655971984
我想看上周拍的照片,病毒性感冒的传播途径,0.49662275622792074
打开wifi,海口今天可以穿什么衣服,0.37598320570759414
识别邮箱地址,搞笑的动态图,0.3427595229712031
病毒性感冒的传播途径,我想从中关村去天安门,0.3914707362245822
海口今天可以穿什么衣服,我要看海绵宝宝,0.4111072180312034
搞笑的动态图,我要骑摩拜单车,0.2476343107900724
我想从中关村去天安门,找壁纸,0.3604471364195755
我要看海绵宝宝,我想看小狗的图片,0.5580421691954666
我要骑摩拜单车,养胃的食材,0.1553210539437296
找壁纸,搜索复仇者联盟的预告片,0.3408186975575281
我想看小狗的图片,打开勿扰模式,0.36702272847723705
养胃的食材,我要问诊,0.2573648661949281
搜索复仇者联盟的预告片,美好的一天用法语怎么说,0.5047589513243659
打开勿扰模式,打开虚空引擎,0.656187087403213
我要问诊,孟子的国籍,0.3455178881758273
美好的一天用法语怎么说,我现在在哪里,0.4102866869049674
打开虚空引擎,伦敦现在几点了,0.335941480586065
孟子的国籍,电视剧知否知否,0.2748690488831929
我现在在哪里,一美元等于多少人民币,0.3823010722564735
伦敦现在几点了,搜搜胃一直疼怎么办,0.3671740451735391
