asr_result,correct_answer
最近几天可以洗车吗？,安装微信
取消预订。,最近需要防晒吗
海淀区有哪些楼盘？,中国挖掘机技术哪家强
北京今天限行吗？,导航去附近的药店
关节痛是什么原因？,我要看复联3
瞎子摸鱼。,今天沪市大盘的走势如何
汽车发动的声音。,打开相机
大江大河。,二月二十八号到四月五号有多少天
北京最近几天适合运动吗？,杭州市绿城兰园的地址
帮我记下，明天去上海出差。,用微信给爸打语音电话
经济之声。,我想预约订座
农历5月5号是哪天？,我要听小说
皮卡丘的声音。,欢乐喜剧人
330加46等于多少？,播放我的本地音乐
为什么总是头皮痒？,我想看猫咪的动图
香港有什么必吃的美食？,生肖鸡今年多少岁
拍小视频。,明天适合钓鱼吗
一英镑等于多少美元？,6月27号是什么星座
土拨鼠的声音。,北京有什么好玩的
今天最高温度多少？,我要吃吃吃
上海市明行区有哪些小区？,稻城亚丁
明天有雾霾吗？,打开支付宝搜索校园卡
过年时拍的照片。,今天农业银行涨了吗
识别文字。,给我找小猪佩奇的表情包
太阳系有哪些行星？,战神金刚变身
狮子座五大预言。,随便来首歌
我有一个想法。,导航回家
腿痛的原因。,小爱我想你了
不同时期对成绩的看法。,播放权力的游戏
今天出门需要带伞吗？,邪不压正
既然你诚心诚意地发问了。,乌龟可以带上地铁吗
降低屏幕亮度。,1983年出生的人属什么
距离春节还有多少天？,打车回家
怎么称呼爸爸的妹妹？,十块钱能干什么
扁桃体炎怎么办？,给张三打个电话
我想查看QQ好友动态。,播放薛之谦的歌
查看QQ好友动态。,杨幂的微博
我要听鬼吹灯。,你吃饭了吗
美国旅游攻略。,三亚旅游攻略
儿歌茄子。,无限火球法
说段北京话。,计算机之父是谁
天秤座本周的事业运势。,看看蔡徐坤的微博
远洋山水的绿化率。,海口明天下雨吗
猕猴桃有什么营养？,中秋节怎么放假
打开相机，并且倒计时三秒自拍。,人类的四大本质是什么
赵薇的老公是谁？,广州最近几天紫外线强吗
11月是什么星座？,冰雹的声音
今天的空气质量如何？,退出滴滴出行
和女朋友吵架的后果。,给妈打个视频电话
拨打电话给中国银行。,关于处女座的预言
导航去公司。,彭丽媛的丈夫
只是怎么发明的？,属龙的性格如何
老鼠怎么叫？,最近有什么赵丽颖的电视剧
大象怎么叫？,我想知道白羊座今年的财运怎么样
中国家庭微信群名。,有什么好看的综艺
明天几点日落？,治疗高血压方面的专家
成都明天天气。,打开摩拜扫一扫
要把大象装冰箱总共分几部？,旺仔QQ糖的声音
皮卡丘走路。,打开小米商城
懒床一直爽。,骑车回家
宫保鸡丁需要什么实在？,明天天气情况
关闭淘宝。,给18811700059充话费
什么人不适合吃制止。,打卡支付宝
我的风景照片。,播放周星驰的喜剧
拨打建行电话。,呼叫爸
拨打10086。,电影无双
最近几天可以穿短裙吗？,今天工商银行的行情
来一首立冬的诗。,我有一个想法以后晚上都喝粥
今天的PM2点五，如何？,今天适合跑步吗
民生银行电话。,小猪佩奇的声音
给妈妈转账一分钱。,我要听笑话
查看微博榜单。,北京朝阳有哪些小区
打开微信。,关闭摩拜
用前置摄像头拍小视频。,搜索一下王源的近况
我要看电视剧。,给爸发1分钱红包
补维生素A，应该吃什么？,射手座的星座关系
马化腾的父亲是谁？,打开酷狗音乐播放本地歌曲
用大众点评搜一下酒店。,大黑牛指的是谁
核桃适宜人群。,用支付宝付20元钱
小孩不听话，怎么办？,为什么不跟女生吵架
寒冰飘飘。,给爸发微信说我没钱了
你站在这里，不要动，我去给你买个橘子。,用嘀嘀打车回家
奇葩说武器。,本周日限行吗
这是什么花？,现在去西直门赌不赌
掉地音量。,换一个
属猪的是哪一年生的？,查看QQ动态
狮子座有什么缺点？,起床前的心理活动
火影忍者。,火影忍者全集
陪我聊天。,属猪的今年多大了
惊蛰是几月几号？,人被逼急了什么事都做的出来吗
马云多大了？,打开支付宝付20块钱
成都有什么好吃的？,今天大盘走势如何
松鼠怎么叫？,你长什么样子
我和天上的星星有什么区别呢？,打开微信收款码
我要充话费。,打开清仓模式
打电话给妈妈。,打开慢动作录像
6月1日是工作日吗？,用美团定个6月3日的餐位
FM 974。,识别链接
毛泽东的毕业院校。,步行导航去附近的超市
打开支付宝扫一扫。,打开手电筒
射手座的守护神。,动漫壁纸
小猪佩奇。,金牛座的幸运色
工业银行是涨了还是跌了？,你会做什么
北京市华清嘉园的房价。,2的10次方等于多少
工资一万元，税后是多少？,故宫的营业时间
最近有什么节日？,查找计划的便签
用前置摄像头录像。,卢浮宫
生肖猪的性格怎么样？,天道有轮回
处女座今天有桃花运吗？,用怕怕报警
今天是几月几号？,一小时等于多少分钟
查找便签。,重启
帮妈妈叫个快车从中关村去五彩城。,来段四川话
蜜桃姐姐讲故事。,生肖兔这个月有桃花运吗
搜寻复仇者联盟三的影评。,查看李四的QQ消息
取消。,使命召唤OL
做鱼香肉丝，有什么窍门？,暂停播放
用QQ音乐播放告白气球。,河流的声音
上网搜搜进京证怎么办？,说一个让你烦恼的事
赵丽颖的老公。,拍快动作视频
