asr_result,correct_answer
属蛇的本月的事业运势。,安装微信
八达岭长城票贵吗？,最近需要防晒吗
有个硬币。,中国挖掘机技术哪家强
双鱼座今日的幸运数字。,导航去附近的药店
唐人街探案是谁演的？,我要看复联3
我要自拍。,今天沪市大盘的走势如何
27岁是属什么的？,打开相机
下载王者荣耀。,二月二十八号到四月五号有多少天
搜索文档丢了怎么办？,杭州市绿城兰园的地址
我想知道属狗的，今年的财运怎么样？,用微信给爸打语音电话
1吨等于多少千克？,我想预约订座
打开相机设置。,我要听小说
调高屏幕亮度。,欢乐喜剧人
用大众点评看一下我附近的美食。,播放我的本地音乐
最近上映的电影。,我想看猫咪的动图
广东的美食推荐。,生肖鸡今年多少岁
我想看上周拍的照片。,明天适合钓鱼吗
打开WIFI。,6月27号是什么星座
识别邮箱地址。,北京有什么好玩的
病毒性感冒的传播途径。,我要吃吃吃
海口今天可以穿什么衣服？,稻城亚丁
搞笑的动态图。,打开支付宝搜索校园卡
我想从中关村去天安门。,今天农业银行涨了吗
我要看海绵宝宝。,给我找小猪佩奇的表情包
我要骑摩拜单车。,战神金刚变身
找壁纸。,随便来首歌
我想看小狗的图片。,导航回家
阳痿的食材。,小爱我想你了
搜索复仇者联盟的预告片。,播放权力的游戏
打开勿扰模式。,邪不压正
我要完成。,乌龟可以带上地铁吗
美好的一天用法语怎么说？,1983年出生的人属什么
打开虚空阴茎。,打车回家
孟子的国籍。,十块钱能干什么
我现在在哪里？,给张三打个电话
伦敦现在几点了？,播放薛之谦的歌
电视剧之父之父。,杨幂的微博
西门元等于多少人民币？,你吃饭了吗
搜索为一直疼怎么办？,三亚旅游攻略
关于天秤座的神预测。,无限火球法
打开支付宝付钱。,计算机之父是谁
吃什么可以降火？,看看蔡徐坤的微博
男生不和女生吵架的真实原因。,海口明天下雨吗
消灭奥特曼的计划。,中秋节怎么放假
给15201010101重100元话费。,人类的四大本质是什么
来点音乐。,广州最近几天紫外线强吗
打开OPPO扫一扫。,冰雹的声音
你和我的倾城时光。,退出滴滴出行
几点了？,给妈打个视频电话
你的妈妈是谁？,关于处女座的预言
吐槽大会第三季。,彭丽媛的丈夫
用滴滴打车去公司。,属龙的性格如何
早起的好处。,最近有什么赵丽颖的电视剧
用后置摄像头拍小视频。,我想知道白羊座今年的财运怎么样
接着导航去东直门。,有什么好看的综艺
调节音量的50。,治疗高血压方面的专家
为你明灯3000。,打开摩拜扫一扫
蜡笔小新。,旺仔QQ糖的声音
明天的紫外线强吗？,打开小米商城
明天限行尾号。,骑车回家
播放抱着的声音。,明天天气情况
有哪些关于天蝎座的神预测？,给18811700059充话费
双子座的性格怎么样？,打卡支付宝
流感怎么预防？,播放周星驰的喜剧
有风油精的表情包吗？,呼叫爸
姚明有多高？,电影无双
打电话给中国联通。,今天工商银行的行情
故宫的价格门票。,我有一个想法以后晚上都喝粥
大概人像拍照模式。,今天适合跑步吗
听歌。,小猪佩奇的声音
你好小艾。,我要听笑话
我要听东北话。,北京朝阳有哪些小区
截屏照片。,关闭摩拜
打开微信小程序跳一条。,搜索一下王源的近况
红烧肉怎么做？,给爸发1分钱红包
识别其中的电话。,射手座的星座关系
警察使者是谁？,打开酷狗音乐播放本地歌曲
开启录像模式。,大黑牛指的是谁
用美团订个十点半的单位。,用支付宝付20元钱
最近空气质量如何？,为什么不跟女生吵架
看小猪佩奇。,给爸发微信说我没钱了
地里热巴的微博。,用嘀嘀打车回家
我的本钱。,本周日限行吗
早上好，怎么翻译？,现在去西直门赌不赌
获嘉顺丰快递。,换一个
导航去最近的加油站。,查看QQ动态
吃鸡脚坏了，我们什么？,起床前的心理活动
来段广东话。,火影忍者全集
我想看蒙面长江踩踩踩。,属猪的今年多大了
继续播放。,人被逼急了什么事都做的出来吗
天兆家园的开发商。,打开支付宝付20块钱
冰雪大世界的营业时间。,今天大盘走势如何
农业银行目前的行情。,你长什么样子
天蝎座今天的运势如何？,打开微信收款码
牙齿发酸怎么办？,打开清仓模式
根号三加根号二等于多少？,打开慢动作录像
我想给小李发QQ信息说点击真好。,用美团定个6月3日的餐位
播放一首唐诗。,识别链接
打开淘宝，天猫超市。,步行导航去附近的超市
熊爸爸的十万个为什么？,打开手电筒
打开支付宝，查看转账记录。,动漫壁纸
水瓶座的优点有哪些？,金牛座的幸运色
聊天。,你会做什么
打开自动发现。,2的10次方等于多少
查看微博本地新闻。,故宫的营业时间
锄禾日当午的下一句是什么？,查找计划的便签
韭菜是和与什么一起吃？,卢浮宫
打开热点。,天道有轮回
最近有风吗？,用怕怕报警
吃什么可以补钙？,一小时等于多少分钟
我要看彭于晏的照片。,重启
1米等于多少厘米？,来段四川话
微信查找妈妈。,生肖兔这个月有桃花运吗
端午节为什么要吃粽子？,查看李四的QQ消息
北冥有哈。,使命召唤OL
播放电钻声音。,暂停播放
明天几点日出？,河流的声音
我想听民谣。,说一个让你烦恼的事
打开边界。,拍快动作视频
