asr_result,correct_answer
最近几天可以洗车吗？,最近几天可以洗车吗
取消预订。,取消预定
海淀区有哪些楼盘？,海淀区有哪些楼盘
北京今天限行吗？,北京今天限行吗
关节痛是什么原因？,关节痛是什么原因
下次摸鱼。,瞎子摸鱼
汽车发动的声音。,汽车发动的声音
大江大河。,大江大河
北京最近几天适合运动吗？,北京最近几天适合运动吗
帮我记一下，明天去上海出差。,帮我记一下明天去上海出差
经济之声。,经济之声
农历5月5号是哪天？,农历五月五号是哪天
皮卡丘的声音。,皮卡丘的声音
330加46等于多少？,330+46等于多少
为什么总是头皮痒？,为什么总是头皮痒
香港有什么必吃的美食？,香港有什么必吃的美食
拍小视频。,拍小视频
一英镑等于多少美元？,一英镑等于多少美元
土拨鼠的声音。,土拔鼠的声音
今天最高温度多少？,今天最高温度多少
上海市闵行区有哪些小区？,上海市闵行区有哪些小区
明天有雾霾吗？,明天有雾霾吗
过节时拍的照片。,过年时拍的照片
识别文字。,识别文字
太阳系有哪些行星？,太阳系有哪些行星
狮子座五大预言。,狮子座五大预言
我有一个想法。,我有一个想法
腿痛的原因。,腿痛的原因
不同时期对成绩的看法。,不同时期对成绩的看法
今天出门需要带伞吗？,今天出门需要带伞吗
既然你诚心诚意地发问了。,既然你诚心诚意地发问了
降低屏幕亮度。,降低屏幕亮度
距离春节还有多少天？,距离春节还有多少天
怎么称呼爸爸的妹妹？,怎么称呼爸爸的妹妹
扁桃体炎怎么办？,扁桃体炎怎么办
我要听鬼吹灯。,我想查看QQ好友的动态
美国旅游攻略。,查看QQ好友动态
儿歌茄子。,我要听鬼吹灯
说段北京话。,美国旅游攻略
天秤座本周的事业运势。,儿歌茄子
远洋山水的绿化率。,说段北京话
猕猴桃有什么营养？,天枰座本周的事业运势
打开相机，并且倒计时三秒自拍。,远洋山水的绿化率
赵薇的老公是谁？,猕猴桃有什么营养
11月是什么星座？,打开相机并且倒计时三秒自拍
今天的空气质量如何？,赵薇的老公是谁
和女朋友吵架的后果。,11月是什么星座
拨打电话给中国银行。,今天的空气质量如何
导航去公司。,和女朋友吵架的后果
纸是怎么发明的？,拨打电话给中国银行
老鼠怎么叫？,导航去公司
大象怎么叫？,纸是怎么发明的
中国家庭微信群名。,老鼠怎么叫
明天几点日落？,大象怎么叫
成都明天天气。,中国家庭微信群名
要把大象装冰箱总共分几部？,明天几点日落
皮卡丘走路。,成都明天天气
懒床一时爽。,要把大象装冰箱总共分几步
宫保鸡丁需要什么食材？,皮卡丘走路
关闭淘宝。,懒床一时爽
什么人不适合吃榛子？,宫保鸡丁需要什么食材
我的风景照片。,关闭淘宝
拨打建行电话。,什么人不适合吃榛子
拨打10086。,我的风景照片
最近几天可以穿短裙吗？,拨打建行电话
来一首立冬的诗。,拨打10086
今天的PM2点五，如何？,最近几天可以穿短裙吗
民生银行电话。,来一首立冬的诗
给妈妈转账一分钱。,今天的PM2.5如何
查看微信榜单。,民生银行电话
打开微信。,给妈妈转账1分钱
用前置摄像头拍小视频。,查看微博榜单
我要看电视剧。,打开微信
补维生素A，应该吃什么？,用前置摄像头拍小视频
马化腾的父亲是谁？,我要看电视剧
用大众点评搜一下酒店。,补维生素A应该吃什么
核桃适宜的人群。,马化腾的父亲是谁
小孩不听话，怎么办？,用大众点评搜一下酒店
寒冰飘飘。,核桃适宜的人群
你站在这里，不要动，我去给你买个橘子。,小孩不听话怎么办
奇葩说第五季。,寒冰飘飘
这是什么花？,你站在这里不要动我去给你买个橘子
调低音量。,奇葩说第五季
属猪的是哪一年生的？,这是什么花
狮子座有什么缺点？,调低音量
火影忍者。,属猪的是哪一年生的
陪我聊天。,狮子座有什么缺点
惊蛰是几月几号？,火影忍者
马云多大了？,陪我聊天
成都有什么好吃的？,惊蛰是几月几号
松鼠怎么叫？,马云多大了
我和天上的星星有什么区别呢？,成都有什么好吃的
我要充话费。,松鼠怎么叫
打电话给妈妈。,我和天上的星星有什么区别呢
6月1日是工作日吗？,我要充话费
FM 974。,带电话给妈妈
毛泽东的毕业院校。,六月一日是工作日吗
开支付宝扫一扫。,FM97.4
射手座的守护神。,毛泽东的毕业院校
小猪佩奇。,打开支付宝扫一扫
工商银行涨了还是跌了？,射手座的守护神
北京市金家园的房价。,小猪佩奇
工资一万元，税后是多少？,工商银行是涨了还是跌了
最近有什么节日？,北京市华清嘉园的房价
用前置摄像头录像。,公子一万元税后是多少
生肖猪的性格怎么样？,最近有什么节日
处女座今天有桃花运吗？,用前置摄像头录像
今天是几月几号？,生肖猪的性格怎么样
查找便签。,处女座今天有桃花运吗
帮妈妈叫个快车从中关村去五彩城。,今天是几月几号
蜜桃姐姐讲故事。,查找便签
搜索复仇者联盟三的影评。,帮妈妈叫个快车从中关村去五彩城
取消。,蜜桃姐姐讲故事
做鱼香肉丝，有什么窍门？,搜索复仇者联盟3的影评
用QQ音乐播放告白气球。,取消
上网搜搜进京证怎么办？,做鱼香肉丝有什么窍门
赵丽颖的老公。,用QQ音乐播放告白气球
我想查看QQ好友的动态。,上网搜搜进京证怎么办
查看QQ好友动态。,赵丽颖的老公
