asr_result,correct_answer
最近几天可以洗车吗？,打开便签
取消预订。,属蛇的本月的事业运势
海淀区有哪些楼盘？,八达岭长城票贵吗
北京今天限行吗？,摇个硬币
关节痛是什么原因？,双鱼座今日的幸运数字
瞎子摸鱼。,唐人街探案是谁演的
汽车发动的声音。,我要自拍
大江大河。,27岁是属什么的
北京最近几天适合运动吗？,下载王者荣耀
帮我记一下，明天去上海出差。,搜搜文档丢了怎么办
经济之声。,我想知道属狗的今年的财运怎么样
农历5月5号是哪天？,一吨等于多少千克
皮卡丘的声音。,打开相机设置
330加46等于多少？,调高屏幕亮度
为什么总是头皮痒？,用大众点评看一下我附近的美食
香港有什么必吃的美食？,最近上映的电影
拍小视频。,广东的美食推荐
一英镑等于多少美元？,我想看上周拍的照片
土拨鼠的声音。,打开wifi
今天最高温度多少？,识别邮箱地址
上海市闵行区有哪些小区？,病毒性感冒的传播途径
明天有雾霾吗？,海口今天可以穿什么衣服
过年时拍的照片。,搞笑的动态图
识别文字。,我想从中关村去天安门
太阳系有哪些行星？,我要看海绵宝宝
狮子座五大预言。,我要骑摩拜单车
我有一个想法。,找壁纸
腿痛的原因。,我想看小狗的图片
不同时期对成绩的看法。,养胃的食材
今天出门需要带伞吗？,搜索复仇者联盟的预告片
既然你诚心诚意地发问了。,打开勿扰模式
降低屏幕亮度。,我要问诊
距离春节还有多少天？,美好的一天用法语怎么说
怎么称呼爸爸的妹妹？,打开虚空引擎
扁桃体炎怎么办？,孟子的国籍
我想查看QQ好友的动态。,我现在在哪里
查看QQ好友动态。,伦敦现在几点了
我要听鬼吹灯。,电视剧知否知否
美国旅游攻略。,一美元等于多少人民币
儿歌茄子。,搜搜胃一直疼怎么办
说段北京话。,关于天枰座的神预测
天秤座本周的事业运势。,打开支付宝付钱
远洋山水的绿化率。,吃什么可以降火
猕猴桃有什么营养？,男生不和女生吵架的真实原因
打开相机，并且倒计时三秒自拍。,消灭奥特曼的计划
赵薇的老公是谁？,给15201010101充100元话费
11月是什么星座？,来电音乐
今天的空气质量如何？,打开ofo扫一扫
和女朋友吵架的后果。,你和我的倾城时光
拨打电话给中国银行。,几点了
导航去公司。,你的妈妈是谁
纸是怎么发明的？,吐槽大会第三季
老鼠怎么叫？,用嘀嘀打车去公司
大象怎么叫？,早起的好处
中国家庭微信群名。,用后置摄像头拍小视频
明天几点日落？,骑车导航去东直门
成都明天天气。,调节音量到50
要把大象装冰箱总共分几部？,为你明灯三千
皮卡丘走路。,蜡笔小新
懒床一时爽。,明天的紫外线强吗
宫保鸡丁需要什么食材？,昨天限行尾号
关闭淘宝。,播放跑车的声音
什么人不适合吃榛子？,有哪些关于天蝎座的神预测
我的风景照片。,双子座的性格怎么样
拨打建行电话。,流感怎么预防
拨打10086。,有风油精的表情包吗
最近几天可以穿短裙吗？,姚明有多高
来一首立冬的诗。,打电话给中国联通
今天的PM2点五，如何？,故宫的价格门票
民生银行电话。,打开人像拍照模式
给妈妈转账一分钱。,听歌
查看微博榜单。,你好小爱
打开微信。,我要听东北话
用前置摄像头拍小视频。,截屏照片
我要看电视剧。,打开微信小程序跳一跳
补维生素A，应该吃什么？,红烧肉怎么做
马化腾的父亲是谁？,识别其中的电话
用大众点评搜一下酒店。,净坛使者是谁
核桃适宜的人群。,开启录像模式
小孩不听话，怎么办？,用美团定个十点半的餐位
寒冰飘飘。,最近空气质量如何
你站在这里，不要动，我去给你买个橘子。,看小猪佩奇
奇葩说第五季。,迪丽热巴的微博
这是什么花？,我的便签
调低音量。,早上好怎么翻译
属猪的是哪一年生的？,呼叫顺丰快递
狮子座有什么缺点？,导航去最近的加油站
火影忍者。,吃鸡教会了我们什么
陪我聊天。,来段广东话
惊蛰是几月几号？,我想看蒙面唱将猜猜猜
马云多大了？,继续播放
成都有什么好吃的？,天兆家园的开发商
松鼠怎么叫？,冰雪大世界的营业时间
我和天上的星星有什么区别呢？,农业银行目前的行情
我要充话费。,天蝎座今天的运势如何
打电话给妈妈。,牙齿发酸怎么办
6月1日是工作日吗？,根号3加根号2等于多少
FM 974。,我想给小李发QQ信息说天气真好
毛泽东的毕业院校。,播放一首唐诗
打开支付宝扫一扫。,打开淘宝天猫超市
射手座的守护神。,熊爸爸的十万个为什么
小猪佩奇。,打开支付宝查看转账记录
工商银行是涨了还是跌了？,水瓶座的优点有哪些
北京市华清嘉园的房价。,聊天
工资一万元，税后是多少？,打开京东发现
最近有什么节日？,查看微博本地新闻
用前置摄像头录像。,锄禾日当午的下一句是什么
生肖猪的性格怎么样？,韭菜适合与什么一起吃
处女座今天有桃花运吗？,打开热点
今天是几月几号？,最近有风吗
查找便签。,吃什么可以补钙
帮妈妈叫个快车从中关村去五彩城。,我要看彭于晏的图片
蜜桃姐姐讲故事。,一米等于多少厘米
搜索复仇者联盟三的影评。,微信查找妈妈
取消。,端午节为什么要吃粽子
做鱼香肉丝，有什么窍门？,北冥有哈
用QQ音乐播放告白气球。,播放电钻声音
上网搜搜进京证怎么办？,明天几点日出
赵丽颖的老公。,我想听民谣
