asr_result,correct_answer
上海市汤臣一品的房价。,安装微信
打开QQ，找到张三。,最近需要防晒吗
热门韩剧。,中国挖掘机技术哪家强
讲个儿童故事。,导航去附近的药店
导航去五彩城。,我要看复联3
导航去朝阳门附近的医院。,今天沪市大盘的走势如何
热门电影。,打开相机
达尔文的进化论讲的是什么？,二月二十八号到四月五号有多少天
打开王俊凯的微博。,杭州市绿城兰园的地址
开启全景拍照模式。,用微信给爸打语音电话
肠胃炎怎么办？,我想预约订座
狼来了，猜一个水果。,我要听小说
打开微信扫一扫付款100元。,欢乐喜剧人
生肖出本月的运势如何？,播放我的本地音乐
现在工商银行的股价多少？,我想看猫咪的动图
今天会出太阳吗？,生肖鸡今年多少岁
雪人兄弟，游戏的声音。,明天适合钓鱼吗
明天可以洗车吗？,6月27号是什么星座
小猪佩奇自我介绍。,北京有什么好玩的
查一下纽约天气，后天怎么样？,我要吃吃吃
播放王菲的歌。,稻城亚丁
帮妈妈叫个车，从五道口去西直门。,打开支付宝搜索校园卡
最近热吗？,今天农业银行涨了吗
我想听张韶涵的歌。,给我找小猪佩奇的表情包
你不是人造革。,战神金刚变身
今天几根几线形。,随便来首歌
易烊千玺的生日是哪天？,导航回家
给我来张美女图片。,小爱我想你了
单田芳的评书。,播放权力的游戏
帮我打开微博本地新闻。,邪不压正
你几岁了？,乌龟可以带上地铁吗
播放蕊希电台。,1983年出生的人属什么
6月1号是星期几？,打车回家
金牛座和处女座的缘分怎么样？,十块钱能干什么
播放米小圈上学记。,给张三打个电话
白羊座是几月份？,播放薛之谦的歌
赖床的好处。,杨幂的微博
关闭支付宝。,你吃饭了吗
属猪的和什么属相最配？,三亚旅游攻略
讲个冷笑话。,无限火球法
你会唱歌吗？,计算机之父是谁
生肖牛的特点。,看看蔡徐坤的微博
96年出生属什么？,海口明天下雨吗
上网搜一下王俊凯的照片。,中秋节怎么放假
我想去附近的星巴克。,人类的四大本质是什么
鼻炎患者需要注意什么？,广州最近几天紫外线强吗
莲藕与什么食物相克？,冰雹的声音
开始刷机模式。,退出滴滴出行
搜索便签。,给妈打个视频电话
用微信给我发两张照片。,关于处女座的预言
赵丽颖的星座。,彭丽媛的丈夫
用秋秋给老爸说天气不错哦。,属龙的性格如何
吃柚子有什么好处？,最近有什么赵丽颖的电视剧
今天是阴历几月几号？,我想知道白羊座今年的财运怎么样
北京外地车限行吗？,有什么好看的综艺
锁屏。,治疗高血压方面的专家
用后置摄像头录像。,打开摩拜扫一扫
发朋友圈说我结婚了。,旺仔QQ糖的声音
我想听摇滚歌曲。,打开小米商城
北京限行限几环？,骑车回家
熊猫基地几点开门？,明天天气情况
怎么预防颈椎病？,给18811700059充话费
小米六配置怎么样？,打卡支付宝
大家可以扫扫，扫一扫。,播放周星驰的喜剧
帮我寄一下。,呼叫爸
如何自己在家炸油条？,电影无双
香港有哪些必吃的美食？,今天工商银行的行情
今天温度怎么样？,我有一个想法以后晚上都喝粥
打车去五道口。,今天适合跑步吗
关闭热点。,小猪佩奇的声音
无名之辈。,我要听笑话
属龙的和属马的在一起好不好？,北京朝阳有哪些小区
中秋节是几月几号？,关闭摩拜
双子座和什么星座最配？,搜索一下王源的近况
查看妈妈的聊天记录。,给爸发1分钱红包
这是什么？,射手座的星座关系
西藏著名的景点有哪些？,打开酷狗音乐播放本地歌曲
看看600036股票当前的行情。,大黑牛指的是谁
王羲之的儿子。,用支付宝付20元钱
哈利波特系列。,为什么不跟女生吵架
打开微信付款码。,给爸发微信说我没钱了
播放睡前音乐。,用嘀嘀打车回家
来段经典相声。,本周日限行吗
魂斗罗的声音。,现在去西直门赌不赌
布达拉宫要门票吗？,换一个
打开微信扫一扫。,查看QQ动态
我想看漫威电影。,起床前的心理活动
郭德纲的综艺节目。,火影忍者全集
吃什么可以安神？,属猪的今年多大了
音量最大。,人被逼急了什么事都做的出来吗
麦兜的声音。,打开支付宝付20块钱
我叫黑虎阿福，你准备受死吧！,今天大盘走势如何
读一首古诗。,你长什么样子
虹膜炎传染吗？,打开微信收款码
最美的告白。,打开清仓模式
用支付宝给爸转账一个亿。,打开慢动作录像
爱琴海购物中心在哪里？,用美团定个6月3日的餐位
打开无线网络。,识别链接
明天星期几？,步行导航去附近的超市
池塘里有什么？,打开手电筒
华府景园的物业费。,动漫壁纸
静音。,金牛座的幸运色
打败小猪佩奇的是谁？,你会做什么
生肖鼠和生肖牛的缘分怎么样？,2的10次方等于多少
这是什么车？,故宫的营业时间
苹果用英语怎么说？,查找计划的便签
我要听进击的段子。,卢浮宫
青莲居士是谁？,天道有轮回
义勇军进行曲的作者是谁？,用怕怕报警
19大主题。,一小时等于多少分钟
关机。,重启
妈妈的爸爸叫什么？,来段四川话
调高音量。,生肖兔这个月有桃花运吗
进入密封模式。,查看李四的QQ消息
关闭勿扰模式。,使命召唤OL
苹果公司昨日的收盘情况。,暂停播放
姜文的电影。,河流的声音
发最近的三张照片到朋友圈说天气真好。,说一个让你烦恼的事
我想看奥斯卡获奖电影。,拍快动作视频
