asr_result,correct_answer
上海市汤臣一品的房价。,上海市汤臣一品的房价
打开QQ，找到张三。,打开QQ找到张三
热门韩剧。,热门韩剧
讲个儿童故事。,讲个儿童故事
导航去五彩城。,导航去五彩城
热门电影。,导航去朝阳门附近的医院
达尔文的进化论讲的是什么？,热门电影
打开王俊凯的微博。,达尔文的进化论讲的是什么
开启全景拍照模式。,打开王俊凯的微博
肠胃炎怎么办？,开启全景拍照模式
狼来了，猜一个水果。,肠胃炎怎么办
打开微信扫一扫付款100元。,狼来了猜一个水果
生肖猪，本月的运势如何？,打开微信扫一扫付款100元
现在工商银行的股价多少？,生肖猪本月的运势如何
今天会出太阳吗？,现在工商银行的股价多少
雪人兄弟，游戏的声音。,今天会出太阳吗
明天可以洗车吗？,雪人兄弟游戏的声音
小猪佩奇自我介绍。,明天可以洗车吗
查一下纽约后天天气怎么样？,小猪佩奇自我介绍
播放王菲的歌。,查一下纽约后天天气怎么样
帮妈妈叫个车，从五道口去西直门。,播放王菲的歌
最近热吗？,帮妈妈叫个车从五道口去西直门
我想听张韶涵的歌。,最近热吗
你不是人造革。,我想听张韶涵的歌
今天几根几线型。,你不是人造革
易烊千玺的生日是哪天？,今天几跟几限行
给我来张美女图片。,易烊千玺的生日是哪天
单田芳的评书。,给我来张美女图片
帮我打开微博本地新闻。,单田芳的评书
你几岁了？,帮我打开微博本地新闻
播放蕊希电台。,你几岁了
6月1号是星期几？,播放蕊希电台
金牛座和处女座的缘分怎么样？,六月一号是星期几
播放米小圈上学记。,金牛座和处女座的缘分怎么样
白羊座是几月份？,播放米小圈上学记
赖床的好处。,白羊座是几月份
关闭支付宝。,赖床的好处
属猪的和什么属相最配？,关闭支付宝
讲个冷笑话。,属猪的和什么属相最配
你会唱歌吗？,讲个冷笑话
生肖牛的特点。,你会唱歌吗
90年出生属什么？,生肖牛的特点
上网搜一下王俊凯的照片。,九零年出生属什么
我想去附近的星巴克。,上网搜一下王俊凯的照片
鼻炎患者需要注意什么？,我想去附近的星巴克
莲藕与什么食物相克？,鼻炎患者需要注意什么
开始刷机模式。,莲藕与什么食物相克
搜索便签。,开始刷机模式
用微信给爸发两张照片。,搜索便签
赵丽颖的星座。,用微信给爸发两张照片
发QQ给老爸说天气不错哦。,赵丽颖的星座
吃柚子有什么好处？,发QQ给老爸说天气不错哦
今天是阴历几月几号？,吃柚子有什么好处
北京外地车限行吗？,今天是阴历几月几号
锁屏。,北京外地车限行吗
用后置摄像头录像。,锁屏
发朋友圈说我结婚了。,用后置摄像头录像
我想听摇滚歌曲。,发朋友圈说我结婚啦
北京限行限几环？,我想听摇滚歌曲
熊猫基地几点开门？,北京限行限几环
怎么预防颈椎病？,熊猫基地几点开门
小米六配置怎么样？,怎么预防颈椎病
打开ofo扫一扫。,小米六配置怎么样
帮我寄一下。,打开ofo扫一扫
如何自己在家炸油条？,帮我记一下
香港有哪些必吃的美食？,如何自己在家炸油条
今天温度怎么样？,香港有哪些必吃的美食
打车去五道口。,今天温度怎么样
关闭热点。,打车去五道口
无名之辈。,关闭热点
属龙的和属马的在一起好不好？,无名之辈
中秋节是几月几号？,属龙的和属马的在一起好不好
双子座和什么星座最配？,中秋节是几月几号
查看妈妈的聊天记录。,双子座和什么星座最配
这是什么？,查看妈妈的聊天记录
西藏著名的景点有哪些？,这是什么
看看600036股票当前的行情。,西藏著名的景点有哪些
王羲之的儿子。,看看600036股票当前的行情
哈利波特系列。,王羲之的儿子
打开微信付款码。,哈利波特系列
播放睡前音乐。,打开微信付款码
来段经典相声。,播放睡前音乐
魂斗罗的声音。,来段经典相声
布达拉宫要门票吗？,魂斗罗的声音
打开微信扫一扫。,布达拉宫要门票吗
我想看漫威电影。,打开微信扫一扫
郭德纲的综艺节目。,我想看漫威电影
吃什么可以安神？,郭德纲的综艺节目
音量最大。,吃什么可以安神
麦兜的声音。,音量最大
我叫黑虎阿福，你准备受死吧！,麦兜的声音
读一首古诗。,我叫黑虎阿福你准备受死吧
虹膜炎传染吗？,读一首古诗
最美的告白。,虹膜炎传染吗
用支付宝给爸转账一个亿。,最美的告白
爱琴海购物中心在哪里？,用支付宝给爸转账一个亿
打开无线网络。,爱琴海购物中心在哪里
明天星期几？,打开无线网络
池塘里有什么？,明天星期几
华府景苑的物业费。,池塘里有什么
静音。,华府景园的物业费
打败小猪佩奇的是谁？,静音
生肖鼠和生肖牛的缘分怎么样？,打败小猪佩奇的是谁
这是什么车？,生肖鼠和生肖牛的缘分怎么样
苹果用英语怎么说？,这是什么车
我要听进击的段子。,苹果用英语怎么说
青莲居士是谁？,我要听进击的段子
义勇军进行曲的作者是谁？,青莲居士是谁
19大主题。,义勇军进行曲的作者是谁
关机。,十九大主题
妈妈的爸爸叫什么？,关机
调高音量。,妈妈的爸爸叫什么
进入密封模式。,调高音量
关闭勿扰模式。,进入蜜蜂模式
苹果公司昨日的收盘情况。,关闭勿扰模式
发最近的三张照片到朋友圈说天气真好。,苹果公司昨日的收盘情况
我想看奥斯卡获奖电影。,姜文的电影
,发最近的三张照片到朋友圈说天气真好
,我想看奥斯卡获奖电影
