asr_result,correct_answer
上海市汤臣一品的房价。,上海市汤臣一品的房价
打开QQ，找到张三。,打开QQ找到张三
热门韩剧。,热门韩剧
讲个儿童故事。,讲个儿童故事
导航去五彩城。,导航去五彩城
导航去朝阳门附近的医院。,导航去朝阳门附近的医院
热门电影。,热门电影
达尔文的进化论讲的是什么？,达尔文的进化论讲的是什么
打开王俊凯的微博。,打开王俊凯的微博
开启全景拍照模式。,开启全景拍照模式
肠胃炎怎么办？,肠胃炎怎么办
狼来了，猜一个水果。,狼来了猜一个水果
打开微信扫一扫付款100元。,打开微信扫一扫付款100元
生肖猪，本月的运势如何？,生肖猪本月的运势如何
现在工商银行的股价是多少？,现在工商银行的股价多少
今天会出太阳吗？,今天会出太阳吗
雪人兄弟，游戏的声音。,雪人兄弟游戏的声音
明天可以洗车吗？,明天可以洗车吗
小猪佩奇的自我介绍。,小猪佩奇自我介绍
查一下纽约后天天气怎么样？,查一下纽约后天天气怎么样
播放王菲的歌。,播放王菲的歌
帮妈妈叫个车，从五道口去西直门。,帮妈妈叫个车从五道口去西直门
最近热吗？,最近热吗
我想听张韶涵的歌。,我想听张韶涵的歌
你不是人造革。,你不是人造革
今天几根几线形。,今天几跟几限行
易烊千玺的生日是哪天？,易烊千玺的生日是哪天
给我来张美女图片。,给我来张美女图片
单田芳的评书。,单田芳的评书
帮我打开微博本地新闻。,帮我打开微博本地新闻
你几岁了？,你几岁了
播放蕊希电台。,播放蕊希电台
6月1号是星期几？,六月一号是星期几
金牛座和处女座的缘分怎么样？,金牛座和处女座的缘分怎么样
播放米小圈上学记。,播放米小圈上学记
白羊座是几月份？,白羊座是几月份
赖床的好处。,赖床的好处
关闭支付宝。,关闭支付宝
属猪的和什么属相最配？,属猪的和什么属相最配
讲个冷笑话。,讲个冷笑话
你会唱歌吗？,你会唱歌吗
生肖牛的特点。,生肖牛的特点
90后出生属什么？,九零年出生属什么
上网搜一下王俊凯的照片。,上网搜一下王俊凯的照片
我想去附近的星巴克。,我想去附近的星巴克
鼻炎患者需要注意什么？,鼻炎患者需要注意什么
莲藕与什么食物相克？,莲藕与什么食物相克
开始刷机模式。,开始刷机模式
搜索便签。,搜索便签
用微信给爸发两张照片。,用微信给爸发两张照片
发QQ给老爸说天气不错哦。,赵丽颖的星座
吃柚子有什么好处？,发QQ给老爸说天气不错哦
今天是阴历几月几号？,吃柚子有什么好处
北京外地车限行吗？,今天是阴历几月几号
锁屏。,北京外地车限行吗
用后置摄像头录像。,锁屏
发朋友圈说我结婚了。,用后置摄像头录像
我想听摇滚歌曲。,发朋友圈说我结婚啦
北京限行限几环？,我想听摇滚歌曲
熊猫基地几点开门？,北京限行限几环
怎么预防颈椎病？,熊猫基地几点开门
小米六配置怎么样？,怎么预防颈椎病
打开ofo扫一扫。,小米六配置怎么样
帮我记一下。,打开ofo扫一扫
如何自己在家炸油条？,帮我记一下
香港有哪些必吃的美食？,如何自己在家炸油条
今天温度怎么样？,香港有哪些必吃的美食
打车去五道口。,今天温度怎么样
关闭热点。,打车去五道口
无名之辈。,关闭热点
属龙的和属马的在一起好不好？,无名之辈
中秋节是几月几号？,属龙的和属马的在一起好不好
双子座和什么星座最配？,中秋节是几月几号
查看妈妈的聊天记录。,双子座和什么星座最配
这是什么？,查看妈妈的聊天记录
西藏著名的景点有哪些？,这是什么
看看600036股票当前的行情。,西藏著名的景点有哪些
王羲之的儿子。,看看600036股票当前的行情
哈利波特系列。,王羲之的儿子
打开微信付款码。,哈利波特系列
播放睡前音乐。,打开微信付款码
来段经典相声。,播放睡前音乐
魂斗罗的声音。,来段经典相声
布达拉宫要门票吗？,魂斗罗的声音
打开微信扫一扫。,布达拉宫要门票吗
我想看漫威电影。,打开微信扫一扫
郭德纲的综艺节目。,我想看漫威电影
吃什么可以安神？,郭德纲的综艺节目
音量最大。,吃什么可以安神
我叫黑虎阿福，你准备受死吧！,音量最大
读一首古诗。,麦兜的声音
虹膜炎传染吗？,我叫黑虎阿福你准备受死吧
最美的告白。,读一首古诗
用支付宝给爸转账一个亿。,虹膜炎传染吗
爱琴海购物中心在哪里？,最美的告白
打开无线网络。,用支付宝给爸转账一个亿
明天星期几？,爱琴海购物中心在哪里
池塘里面有什么？,打开无线网络
华府景园的物业费。,明天星期几
静音。,池塘里有什么
打败小猪佩奇的是谁？,华府景园的物业费
生肖鼠和生肖牛的缘分怎么样？,静音
这是什么车？,打败小猪佩奇的是谁
苹果用英语怎么说？,生肖鼠和生肖牛的缘分怎么样
我要听进击的段子。,这是什么车
青莲居士是谁？,苹果用英语怎么说
义勇军进行曲的作者是谁？,我要听进击的段子
19大主题。,青莲居士是谁
关机。,义勇军进行曲的作者是谁
妈妈的爸爸叫什么？,十九大主题
调高音量。,关机
进入密封模式。,妈妈的爸爸叫什么
关闭勿扰模式。,调高音量
苹果公司昨日的收盘情况。,进入蜜蜂模式
姜文的电影。,关闭勿扰模式
发最近的三张照片到朋友圈说天气真好。,苹果公司昨日的收盘情况
我想看奥斯卡获奖电影。,姜文的电影
讲个儿童故事。,发最近的三张照片到朋友圈说天气真好
,我想看奥斯卡获奖电影
