asr_result,correct_answer
我要吃吃吃。,安装微信
稻城亚丁。,最近需要防晒吗
打开支付宝搜索校园卡。,中国挖掘机技术哪家强
今天农业银行涨了吗？,导航去附近的药店
给我找小猪佩奇的表情包。,我要看复联3
战神金刚变身。,今天沪市大盘的走势如何
随便来首歌。,打开相机
导航回家。,二月二十八号到四月五号有多少天
小艾，我想你了。,杭州市绿城兰园的地址
播放权力的游戏。,用微信给爸打语音电话
邪不压正。,我想预约订座
乌龟可以带上地铁吗？,我要听小说
1983年出生的人属什么？,欢乐喜剧人
打车回家。,播放我的本地音乐
十块钱能干什么？,我想看猫咪的动图
给张三打个电话。,生肖鸡今年多少岁
播放薛之谦的歌。,明天适合钓鱼吗
杨幂的微博。,6月27号是什么星座
你吃饭了吗？,北京有什么好玩的
三亚旅游攻略。,我要吃吃吃
无限火球法。,稻城亚丁
计算机之父是谁？,打开支付宝搜索校园卡
看看蔡徐坤的微博。,今天农业银行涨了吗
海口，明天下雨吗？,给我找小猪佩奇的表情包
中秋节怎么放假？,战神金刚变身
人类的四大本质是什么？,随便来首歌
广州最近几天紫外线强吗？,导航回家
冰雹的声音。,小爱我想你了
退出滴滴出行营。,播放权力的游戏
给妈打个视频电话。,邪不压正
关于处女座的预言。,乌龟可以带上地铁吗
彭丽媛的丈夫。,1983年出生的人属什么
属龙的性格如何？,打车回家
最近有什么赵丽颖的电视剧？,十块钱能干什么
我想知道白羊座今年的财运怎么样？,给张三打个电话
有什么好看的综艺？,播放薛之谦的歌
治疗高血压方面的专家。,杨幂的微博
打开摩拜扫一扫。,你吃饭了吗
旺仔QQ糖的声音。,三亚旅游攻略
打开小米商城。,无限火球法
骑车回家。,计算机之父是谁
明天天气情况。,看看蔡徐坤的微博
给18811700059充话费。,海口明天下雨吗
打卡支付宝。,中秋节怎么放假
播放周星驰的喜剧。,人类的四大本质是什么
呼叫爸。,广州最近几天紫外线强吗
电影无双。,冰雹的声音
今天工商银行的行情。,退出滴滴出行
我有个想法，以后晚上都喝粥。,给妈打个视频电话
今天适合跑步吗？,关于处女座的预言
小猪佩奇的声音。,彭丽媛的丈夫
我要听笑话。,属龙的性格如何
北京朝阳有哪些小区？,最近有什么赵丽颖的电视剧
关闭摩拜。,我想知道白羊座今年的财运怎么样
搜索王源的近况。,有什么好看的综艺
给爸发一分钱红包。,治疗高血压方面的专家
射手座的星座关系。,打开摩拜扫一扫
打开酷狗音乐播放本地歌曲。,旺仔QQ糖的声音
大黑牛指的是谁？,打开小米商城
用支付宝付二零元钱。,骑车回家
为什么不跟女生吵架？,明天天气情况
给爸发微信说我没钱了。,给18811700059充话费
用滴滴打车回家。,打卡支付宝
本周日限行吗？,播放周星驰的喜剧
现在去西直门，堵不堵？,呼叫爸
换一个。,电影无双
查看QQ动态。,今天工商银行的行情
起床前的心理活动。,我有一个想法以后晚上都喝粥
火影忍者全集。,今天适合跑步吗
属猪的今年多大了？,小猪佩奇的声音
人被逼急了，什么事都做得出来吗？,我要听笑话
打开支付宝付20块钱。,北京朝阳有哪些小区
今天大盘走势如何？,关闭摩拜
你长什么样子？,搜索一下王源的近况
打开微信收款码。,给爸发1分钱红包
打开清仓模式。,射手座的星座关系
打开慢动作录像。,打开酷狗音乐播放本地歌曲
用美团订个6月3日的餐位。,大黑牛指的是谁
识别链接。,用支付宝付20元钱
步行导航去附近的超市。,为什么不跟女生吵架
打开手电筒。,给爸发微信说我没钱了
动漫壁纸。,用嘀嘀打车回家
金牛座的幸运色。,本周日限行吗
你会做什么？,现在去西直门赌不赌
二的十次方等于多少？,换一个
故宫的营业时间。,查看QQ动态
查找计划的变迁。,起床前的心理活动
卢浮宫。,火影忍者全集
天道有轮回。,属猪的今年多大了
用papa报警。,人被逼急了什么事都做的出来吗
1小时等于多少分钟？,打开支付宝付20块钱
重启。,今天大盘走势如何
来段四川话。,你长什么样子
生肖兔这个月有桃花运吗？,打开微信收款码
查看李四的QQ信息。,打开清仓模式
使命召唤OL。,打开慢动作录像
暂停播放。,用美团定个6月3日的餐位
河流的声音。,识别链接
说一个让你烦恼的事。,步行导航去附近的超市
拍快动作视频。,打开手电筒
安装微信。,动漫壁纸
最近需要防晒吗？,金牛座的幸运色
中国挖掘机技术哪家强？,你会做什么
导航去附近的药店。,2的10次方等于多少
我要看复联三。,故宫的营业时间
今天炉石大盘的走势如何？,查找计划的便签
打开相机。,卢浮宫
2月28号到4月5号有多少天？,天道有轮回
杭州市绿城兰园的地址。,用怕怕报警
用微信给爸打语音电话。,一小时等于多少分钟
我想预约订座。,重启
我要听小说。,来段四川话
欢乐喜剧人。,生肖兔这个月有桃花运吗
播放我的本地音乐。,查看李四的QQ消息
我想看猫咪的动图。,使命召唤OL
生肖鸡今年多少岁？,暂停播放
明天适合钓鱼吗？,河流的声音
6月27号是什么星座？,说一个让你烦恼的事
北京有什么好玩的？,拍快动作视频
稻城亚丁。,
