asr_result,correct_answer
推荐可以使用吗？,最近几天可以洗车吗
句型练习。,取消预定
海淀区有哪些老板？,海淀区有哪些楼盘
北京今天限行吗？,北京今天限行吗
关节痛是什么原因？,关节痛是什么原因
虾怎么吃？,瞎子摸鱼
汽车发动的声音。,汽车发动的声音
大江大河。,大江大河
北京最近几天适合运动吗？,北京最近几天适合运动吗
我记一下，明天去上海车站。,帮我记一下明天去上海出差
经济之声。,经济之声
那么，你要吃药不好使，大姐。,农历五月五号是哪天
皮卡丘的声音。,皮卡丘的声音
330加16等于多少？,330+46等于多少
为什么总是脱皮呀？,为什么总是头皮痒
香港有什么壁纸的美食？,香港有什么必吃的美食
拍小视频。,拍小视频
习性磅等于多少美元？,一英镑等于多少美元
播出的声音。,土拔鼠的声音
今天最高温度多少？,今天最高温度多少
上海明星，你去我那学校。,上海市闵行区有哪些小区
明天有空来吗？,明天有雾霾吗
过年时拍的照片。,过年时拍的照片
识别文字。,识别文字
太阳系有哪些行星？,太阳系有哪些行星
狮子座，武大女人。,狮子座五大预言
我有一个想法。,我有一个想法
系统的软件。,腿痛的原因
普通实际对成绩的看法。,不同时期对成绩的看法
今天出门需要带伞吗？,今天出门需要带伞吗
既然你诚心诚意的发问了。,既然你诚心诚意地发问了
经济屏幕良品。,降低屏幕亮度
距春节还有多少天？,距离春节还有多少天
怎么称呼爸爸的妹妹？,怎么称呼爸爸的妹妹
扁桃体炎怎么办？,扁桃体炎怎么办
我想查看我的动态。,我想查看QQ好友的动态
他感觉就好了，不懂的。,查看QQ好友动态
我要听鬼吹灯。,我要听鬼吹灯
美国女星攻略。,美国旅游攻略
耳朵茄子。,儿歌茄子
说段北京话。,说段北京话
凭证办证。,天枰座本周的事业运势
鸳鸯山墅的有哪些？,远洋山水的绿化率
猕猴桃有什么形象？,猕猴桃有什么营养
大概小姐拍。,打开相机并且倒计时三秒自拍
照片的老公是谁？,赵薇的老公是谁
11月是什么星座？,11月是什么星座
我和女朋友吵架的后果。,今天的空气质量如何
拨打电话给中国银行。,和女朋友吵架的后果
导航去公司。,拨打电话给中国银行
这是怎么发明的？,导航去公司
我说什么叫？,纸是怎么发明的
她想怎么叫？,老鼠怎么叫
中国家庭微信区别。,大象怎么叫
明天几点什么？,中国家庭微信群名
成都明天天气。,明天几点日落
要把大象装冰箱总共分几部？,成都明天天气
皮卡丘怎么做？,要把大象装冰箱总共分几步
临床医是什么？,皮卡丘走路
宫保鸡丁需要什么？,懒床一时爽
关闭淘宝。,宫保鸡丁需要什么食材
什么事都是我吃榛子。,关闭淘宝
我的风景照片。,什么人不适合吃榛子
播大结局电话。,我的风景照片
拨打10086。,拨打建行电话
最近几天可以穿短裙吗？,拨打10086
来一首李白的诗。,最近几天可以穿短裙吗
今天的事。,来一首立冬的诗
民生银行电话。,今天的PM2.5如何
给爸爸转了一分钱。,民生银行电话
查看微博榜单。,给妈妈转账1分钱
打开微信。,查看微博榜单
我要看电视剧。,打开微信
维生素A，应该吃什么什么啊！,用前置摄像头拍小视频
马化腾的父亲是谁？,我要看电视剧
熊大种。,补维生素A应该吃什么
证券。,马化腾的父亲是谁
小孩不听话，怎么办？,用大众点评搜一下酒店
寒冰飘飘。,核桃适宜的人群
你站在这里，不要我去给你买。,小孩不听话怎么办
其他手机手机。,寒冰飘飘
这是什么花？,你站在这里不要动我去给你买个橘子
调解心情。,奇葩说第五季
属猪的是哪一年生的？,这是什么花
14座，有什么缺点？,调低音量
我想忍者。,属猪的是哪一年生的
陪我聊天。,狮子座有什么缺点
情景是几月几号？,火影忍者
骂人多大了？,陪我聊天
他们有什么好吃的？,惊蛰是几月几号
我说什么叫？,马云多大了
我和天上的星星有什么缺点啊？,成都有什么好吃的
我要查话费。,松鼠怎么叫
打电话给爸爸。,我和天上的星星有什么区别呢
刘延锡饰工作室吗？,我要充话费
IPHONE黑木蛟74。,带电话给妈妈
毛泽东的毕业元宵。,六月一日是工作日吗
打开支付宝扫一扫。,FM97.4
射手座的守护神。,毛泽东的毕业院校
小猪佩奇。,打开支付宝扫一扫
工商银行是涨了还是跌了？,射手座的守护神
北京市华清嘉园的房价。,小猪佩奇
公司以为晚上好是多少？,工商银行是涨了还是跌了
最近有什么解释？,北京市华清嘉园的房价
小前置摄像头录像。,公子一万元税后是多少
生肖猪的性格怎么样？,最近有什么节日
处女座今天有点怀孕吗？,用前置摄像头录像
今天是几月几号？,生肖猪的性格怎么样
查找眼前。,处女座今天有桃花运吗
叫个快车从中关村去五彩城。,今天是几月几号
蜜桃姐姐讲故事。,查找便签
搜索温州这联盟三代江平。,帮妈妈叫个快车从中关村去五彩城
取消。,蜜桃姐姐讲故事
做鱼香肉丝，有什么窍门？,搜索复仇者联盟3的影评
用QQ音乐播放告白气球。,取消
声音小时，天气热怎么办？,做鱼香肉丝有什么窍门
超级小的老公。,用QQ音乐播放告白气球
,上网搜搜进京证怎么办
,赵丽颖的老公
