asr_result,correct_answer
打开QQ，找到张三。,最近几天可以洗车吗
热门韩剧。,取消预定
讲个儿童故事。,海淀区有哪些楼盘
导航去五彩城。,北京今天限行吗
导航去朝阳门附近的医院。,关节痛是什么原因
热门电影。,瞎子摸鱼
达尔文的进化论讲的是什么？,汽车发动的声音
打开王俊凯的微博。,大江大河
开启全景拍照模式。,北京最近几天适合运动吗
肠胃炎怎么办？,帮我记一下明天去上海出差
狼来了，猜一个水果。,经济之声
打开微信扫一扫付款100元。,农历五月五号是哪天
生肖猪，本月的运势如何？,皮卡丘的声音
现在工商银行的股价多少？,330+46等于多少
今天会出太阳吗？,为什么总是头皮痒
雪人兄弟，游戏的声音。,香港有什么必吃的美食
明天可以洗车吗？,拍小视频
小猪佩奇自我介绍。,一英镑等于多少美元
查一下纽约后天天气怎么样？,土拔鼠的声音
播放王菲的歌。,今天最高温度多少
帮妈妈叫个车，从五道口去西直门。,上海市闵行区有哪些小区
最近有什么？,明天有雾霾吗
我想听张韶涵的歌。,过年时拍的照片
你不是人造革。,识别文字
今天几跟几限行？,太阳系有哪些行星
易烊千玺的生日是哪天？,狮子座五大预言
给我来张美女图片。,我有一个想法
帮我打开微博本地新闻。,腿痛的原因
你几岁了？,不同时期对成绩的看法
播放蕊希电台。,今天出门需要带伞吗
6月1号是星期几？,既然你诚心诚意地发问了
金牛座和处女座的缘分怎么样？,降低屏幕亮度
播放米小圈上学记。,距离春节还有多少天
白羊座是几月份？,怎么称呼爸爸的妹妹
赖床的好处。,扁桃体炎怎么办
关闭支付宝。,我想查看QQ好友的动态
属猪的和什么属相最配？,查看QQ好友动态
讲个冷笑话。,我要听鬼吹灯
你会唱歌吗？,美国旅游攻略
生肖牛的特点。,儿歌茄子
90年出生属什么？,说段北京话
上网搜一下王俊凯的照片。,天枰座本周的事业运势
我想去附近的星巴克。,远洋山水的绿化率
鼻炎患者需要注意什么？,猕猴桃有什么营养
莲藕与什么食物相克？,打开相机并且倒计时三秒自拍
开始刷机模式。,赵薇的老公是谁
搜索便签。,11月是什么星座
用微信给我发两张照片。,今天的空气质量如何
赵丽颖的星座。,和女朋友吵架的后果
发QQ给老爸说天气不错哦。,拨打电话给中国银行
吃柚子有什么好处？,导航去公司
今天是阴历几月几号？,纸是怎么发明的
北京外地车限行吗？,老鼠怎么叫
锁屏。,大象怎么叫
用后置摄像头录像。,中国家庭微信群名
发朋友圈说我结婚了。,明天几点日落
我想听摇滚歌曲。,成都明天天气
北京限行限几环？,要把大象装冰箱总共分几步
熊猫基地几点开门？,皮卡丘走路
怎么预防颈椎病？,懒床一时爽
小米六配置怎么样？,宫保鸡丁需要什么食材
打开OPPO扫一扫。,关闭淘宝
帮我寄一下。,什么人不适合吃榛子
如何自己在家炸油条？,我的风景照片
香港有哪些必吃的美食？,拨打建行电话
今天温度怎么样？,拨打10086
打车去五道口。,最近几天可以穿短裙吗
我想看漫威电影。,来一首立冬的诗
郭德纲的综艺节目。,今天的PM2.5如何
吃什么可以安神？,民生银行电话
音量最大。,给妈妈转账1分钱
麦兜的声音。,查看微博榜单
我叫黑虎阿福，你准备受死吧！,打开微信
读一首古诗。,用前置摄像头拍小视频
虹膜炎传染吗？,我要看电视剧
最美的告白。,补维生素A应该吃什么
用支付宝给爸转账一个亿。,马化腾的父亲是谁
爱琴海购物中心在哪里？,用大众点评搜一下酒店
打开无线网络。,核桃适宜的人群
明天星期几？,小孩不听话怎么办
池塘里有什么？,寒冰飘飘
华府景园的物业费。,你站在这里不要动我去给你买个橘子
静音。,奇葩说第五季
打败小猪佩奇的是谁？,这是什么花
生肖鼠和生肖牛的缘分怎么样？,调低音量
这是什么车？,属猪的是哪一年生的
苹果用英语怎么说？,狮子座有什么缺点
我想听进击的段子。,火影忍者
青莲居士是谁？,陪我聊天
义勇军进行曲的作者是谁？,惊蛰是几月几号
19大主题。,马云多大了
关机。,成都有什么好吃的
妈妈的爸爸叫什么？,松鼠怎么叫
调高音量。,我和天上的星星有什么区别呢
进入密封模式。,我要充话费
关闭勿扰模式。,带电话给妈妈
苹果公司昨日的收盘情况。,六月一日是工作日吗
江门的电影。,FM97.4
发最近的三张照片到朋友圈说天气真好。,毛泽东的毕业院校
我想看奥斯卡获奖电影。,打开支付宝扫一扫
单田芳的评书。,射手座的守护神
关闭热点。,小猪佩奇
无名之辈。,工商银行是涨了还是跌了
属龙的和属马的在一起好不好？,北京市华清嘉园的房价
中秋节是几月几号？,公子一万元税后是多少
双子座和什么星座最配？,最近有什么节日
查看妈妈的聊天记录。,用前置摄像头录像
这是什么？,生肖猪的性格怎么样
西藏著名的景点有哪些？,处女座今天有桃花运吗
查看600036股票当前的航行。,今天是几月几号
王羲之的儿子。,查找便签
哈利波特系列。,帮妈妈叫个快车从中关村去五彩城
打开微信付款码。,蜜桃姐姐讲故事
播放睡前音乐。,搜索复仇者联盟3的影评
来段经典相声。,取消
魂斗罗的声音。,做鱼香肉丝有什么窍门
布达拉宫要门票吗？,用QQ音乐播放告白气球
打开微信扫一扫。,上网搜搜进京证怎么办
上海市汤臣一品的房价。,赵丽颖的老公
