asr_result,correct_answer
最近几天可以洗车吗？,最近几天可以洗车吗
取消预订。,取消预定
还挺具有哪些鲁班？,海淀区有哪些楼盘
北京今天限行吗？,北京今天限行吗
关节痛是什么原因？,关节痛是什么原因
打字没雨。,瞎子摸鱼
汽车发动时的声音。,汽车发动的声音
大江大河。,大江大河
北京最近几天适合运动吗？,北京最近几天适合运动吗
帮我记一下，明天去上海出差。,帮我记一下明天去上海出差
经济之声。,经济之声
农历5月5号是哪天？,农历五月五号是哪天
皮卡丘的声音。,皮卡丘的声音
330加16等于多少？,330+46等于多少
为什么总是头皮痒？,为什么总是头皮痒
香港有什么必知道，没事。,香港有什么必吃的美食
拍小视频。,拍小视频
英镑等于多少美元？,一英镑等于多少美元
上海市闵行区有哪些小区？,土拔鼠的声音
明天有雾霾吗？,今天最高温度多少
过年时拍的照片。,上海市闵行区有哪些小区
识别文字。,明天有雾霾吗
太阳系有哪些行星？,过年时拍的照片
狮子座五大语言。,识别文字
我有个一个想法。,太阳系有哪些行星
对等等原因。,狮子座五大预言
不同时期对成绩的看法。,我有一个想法
今天出门需要带伞吗？,腿痛的原因
既然你诚心诚意的发问了。,不同时期对成绩的看法
降低屏幕亮度。,今天出门需要带伞吗
距离春节还有多少天？,既然你诚心诚意地发问了
怎么称呼爸爸的妹妹？,降低屏幕亮度
扁桃体炎怎么办？,距离春节还有多少天
我想查看QQ好友的状态。,怎么称呼爸爸的妹妹
我想听鬼吹灯。,扁桃体炎怎么办
美国旅游攻略。,我想查看QQ好友的动态
儿歌茄子。,查看QQ好友动态
说段北京话。,我要听鬼吹灯
天秤座本周的实验运势。,美国旅游攻略
鸳鸯山水的绿化率。,儿歌茄子
猕猴桃有什么营养？,说段北京话
打开相机，并且倒计时三秒自拍。,天枰座本周的事业运势
赵薇的老公是谁？,远洋山水的绿化率
11月是什么星座？,猕猴桃有什么营养
今天的空气质量如何？,打开相机并且倒计时三秒自拍
和女朋友吵架的后果。,赵薇的老公是谁
拨打电话给中国银行。,11月是什么星座
导航去公司。,今天的空气质量如何
这是怎么发明的？,和女朋友吵架的后果
老鼠怎么叫？,拨打电话给中国银行
大象怎么叫？,导航去公司
中国家庭微信群名。,纸是怎么发明的
明天几点说？,老鼠怎么叫
成都明天天气。,大象怎么叫
要把大象装冰箱总共分几部？,中国家庭微信群名
皮卡丘总有。,明天几点日落
赖床一时爽。,成都明天天气
宫保鸡丁需要什么器材？,要把大象装冰箱总共分几步
关闭淘宝。,皮卡丘走路
什么人不适合吃橙子？,懒床一时爽
我的风景照片。,宫保鸡丁需要什么食材
拨打建行电话。,关闭淘宝
拨打10086。,什么人不适合吃榛子
最近几天可以穿短裙吗？,我的风景照片
来一首李白的诗。,拨打建行电话
今天的PM2点五，如何？,拨打10086
民生银行电话。,最近几天可以穿短裙吗
给妈妈转账一分钱。,来一首立冬的诗
查看微博榜单。,今天的PM2.5如何
打开微信。,民生银行电话
用前置摄像头拍小视频。,给妈妈转账1分钱
我要看电视剧。,查看微博榜单
补维生素A，应该吃什么？,打开微信
马化腾的父亲是谁？,用前置摄像头拍小视频
用大众点评搜一下酒店。,我要看电视剧
核桃是一的人群。,补维生素A应该吃什么
小孩不听话，怎么办？,马化腾的父亲是谁
寒冰飘飘。,用大众点评搜一下酒店
你站在这里，不要动，我去给你买个橘子。,核桃适宜的人群
奇葩说提不起。,小孩不听话怎么办
这是什么花？,寒冰飘飘
调低音量。,你站在这里不要动我去给你买个橘子
数字的是哪一年生的？,奇葩说第五季
狮子座有什么缺点？,这是什么花
火影忍者。,调低音量
陪我聊天。,属猪的是哪一年生的
停车是几月几号？,狮子座有什么缺点
马云多大了？,火影忍者
成都有什么好吃的？,陪我聊天
松鼠怎么叫？,惊蛰是几月几号
黄河天上的星星有什么区别呢？,马云多大了
我要充话费。,成都有什么好吃的
打电话给妈妈。,松鼠怎么叫
6月1日是工作日吗？,我和天上的星星有什么区别呢
FM 974。,我要充话费
毛泽东的毕业院校。,带电话给妈妈
打开支付宝扫一扫。,六月一日是工作日吗
射手座的守护神。,FM97.4
小猪佩奇。,毛泽东的毕业院校
工商银行是涨了还是跌了？,打开支付宝扫一扫
北京市华清嘉园的房价。,射手座的守护神
孔子100元，税后是多少？,小猪佩奇
最近有什么解释？,工商银行是涨了还是跌了
用前置摄像头录像。,北京市华清嘉园的房价
生肖猪的性格怎么样？,公子一万元税后是多少
处女座今天有桃花运吗？,最近有什么节日
今天是几月几号？,用前置摄像头录像
查找便签。,生肖猪的性格怎么样
帮妈妈叫个快车从中关村去五彩城。,处女座今天有桃花运吗
蜜桃姐姐讲故事。,今天是几月几号
搜索复仇者联盟三的新的屏。,查找便签
取消。,帮妈妈叫个快车从中关村去五彩城
做鱼香肉丝，有什么窍门？,蜜桃姐姐讲故事
用QQ音乐播放告白气球。,搜索复仇者联盟3的影评
上网搜搜金青城怎么办？,取消
赵丽颖的老公。,做鱼香肉丝有什么窍门
,用QQ音乐播放告白气球
,上网搜搜进京证怎么办
,赵丽颖的老公
