asr_result,correct_answer
上海市汤臣一品的房价。,打开便签
打开QQ，找到张三。,属蛇的本月的事业运势
热门韩剧。,八达岭长城票贵吗
讲个儿童故事。,摇个硬币
导航去五彩城。,双鱼座今日的幸运数字
导航去朝阳门附近的医院。,唐人街探案是谁演的
热门电影。,我要自拍
达尔文的进化论讲的是什么？,27岁是属什么的
打开王俊凯的微博。,下载王者荣耀
开启全景拍照模式。,搜搜文档丢了怎么办
肠胃炎怎么办？,我想知道属狗的今年的财运怎么样
狼来了，猜一个水果。,一吨等于多少千克
打开微信扫一扫付款100元。,打开相机设置
生肖猪，本月的运势如何？,调高屏幕亮度
现在工商银行的股价多少？,用大众点评看一下我附近的美食
今天会出太阳吗？,最近上映的电影
雪人兄弟，游戏的声音。,广东的美食推荐
明天可以洗车吗？,我想看上周拍的照片
小猪佩奇自我介绍。,打开wifi
查一下纽约后天天气怎么样？,识别邮箱地址
播放王菲的歌。,病毒性感冒的传播途径
帮妈妈叫个车，从五道门去西直门。,海口今天可以穿什么衣服
最近热吗？,搞笑的动态图
我想听张韶涵的歌。,我想从中关村去天安门
你不是人造革。,我要看海绵宝宝
今天几根几线形。,我要骑摩拜单车
易烊千玺的生日是哪天？,找壁纸
给我来张美女图片。,我想看小狗的图片
单田芳的评书。,养胃的食材
帮我打开微博本地新闻。,搜索复仇者联盟的预告片
你几岁了？,打开勿扰模式
播放蕊希电台。,我要问诊
6月1号是星期几？,美好的一天用法语怎么说
金牛座和处女座的缘分怎么样？,打开虚空引擎
播放米小圈上学记。,孟子的国籍
白羊座是几月份？,我现在在哪里
赖床的好处。,伦敦现在几点了
关闭支付宝。,电视剧知否知否
属猪的和什么属相最配？,一美元等于多少人民币
讲个冷笑话。,搜搜胃一直疼怎么办
你会唱歌吗？,关于天枰座的神预测
生肖牛的特点。,打开支付宝付钱
90年出生属什么？,吃什么可以降火
上网搜一下王俊凯的照片。,男生不和女生吵架的真实原因
我想去附近的星巴克。,消灭奥特曼的计划
鼻炎患者需要注意什么？,给15201010101充100元话费
莲藕与什么食物相克？,来电音乐
开始刷机模式。,打开ofo扫一扫
搜索便签。,你和我的倾城时光
用微信给爸发两张照片。,几点了
赵丽颖的星座。,你的妈妈是谁
发QQ给老爸说天气不错哦。,吐槽大会第三季
吃柚子有什么好处？,用嘀嘀打车去公司
今天是阴历几月几号？,早起的好处
北京外地车限行吗？,用后置摄像头拍小视频
锁屏。,骑车导航去东直门
用后置摄像头录像。,调节音量到50
发朋友圈说我结婚啦。,为你明灯三千
我想听摇滚歌曲。,蜡笔小新
北京限行限几环？,明天的紫外线强吗
熊猫基地几点开门？,昨天限行尾号
怎么预防颈椎病？,播放跑车的声音
小米六配置怎么样？,有哪些关于天蝎座的神预测
打开ofo扫一扫。,双子座的性格怎么样
帮我寄一下。,流感怎么预防
如何自己在家炸油条？,有风油精的表情包吗
香港有哪些必吃的美食？,姚明有多高
今天温度怎么样？,打电话给中国联通
打车去五道口。,故宫的价格门票
关闭热点。,打开人像拍照模式
无名之辈。,听歌
属龙的和属马的在一起好不好？,你好小爱
中秋节是几月几号？,我要听东北话
双子座和什么星座最配？,截屏照片
查看妈妈的聊天记录。,打开微信小程序跳一跳
这是什么？,红烧肉怎么做
西藏著名的景点有哪些？,识别其中的电话
看看600036股票当前的行情。,净坛使者是谁
王羲之的儿子。,开启录像模式
哈利波特系列。,用美团定个十点半的餐位
打开微信付款码。,最近空气质量如何
播放睡前音乐。,看小猪佩奇
来段经典相声。,迪丽热巴的微博
魂斗罗的声音。,我的便签
布达拉宫要门票吗？,早上好怎么翻译
打开微信扫一扫。,呼叫顺丰快递
我想看漫威电影。,导航去最近的加油站
郭德纲的综艺节目。,吃鸡教会了我们什么
吃什么可以安神？,来段广东话
音量最大。,我想看蒙面唱将猜猜猜
麦兜的声音。,继续播放
我叫黑虎阿福，你准备受死吧！,天兆家园的开发商
读一首古诗。,冰雪大世界的营业时间
虹膜炎传染吗？,农业银行目前的行情
最美的告白。,天蝎座今天的运势如何
用支付宝给爸爸转账一个亿。,牙齿发酸怎么办
爱琴海购物中心在哪里？,根号3加根号2等于多少
打开无线网络。,我想给小李发QQ信息说天气真好
明天星期几？,播放一首唐诗
池塘里有什么？,打开淘宝天猫超市
华府景园的物业费。,熊爸爸的十万个为什么
静音。,打开支付宝查看转账记录
打败小猪佩奇的是谁？,水瓶座的优点有哪些
生肖鼠和生肖牛的缘分怎么样？,聊天
这是什么车？,打开京东发现
苹果用英语怎么说？,查看微博本地新闻
我要听进击的段子。,锄禾日当午的下一句是什么
青莲居士是谁？,韭菜适合与什么一起吃
义勇军进行曲的作者是谁？,打开热点
19大主题。,最近有风吗
关机。,吃什么可以补钙
妈妈的爸爸叫什么？,我要看彭于晏的图片
调高音量。,一米等于多少厘米
进入密封模式。,微信查找妈妈
关闭勿扰模式。,端午节为什么要吃粽子
苹果公司昨日的收盘情况。,北冥有哈
姜文的电影。,播放电钻声音
发最近的三张照片到朋友圈说天气真好。,明天几点日出
我想看奥斯卡获奖电影。,我想听民谣
