asr_result,correct_answer
上海市汤臣一品的房价。,上海市汤臣一品的房价
上海市汤臣一品的房价。,打开QQ找到张三
打开QQ，找到张三。,热门韩剧
打开QQ，找到张三。,讲个儿童故事
热门韩剧。,导航去五彩城
热门韩剧。,导航去朝阳门附近的医院
讲个儿童故事。,热门电影
讲个儿童故事。,达尔文的进化论讲的是什么
导航去五彩城。,打开王俊凯的微博
导航去五彩城。,开启全景拍照模式
导航去朝阳门附近的医院。,肠胃炎怎么办
导航去朝阳门附近的医院。,狼来了猜一个水果
热门电影。,打开微信扫一扫付款100元
热门电影。,生肖猪本月的运势如何
达尔文的进化论讲的是什么？,现在工商银行的股价多少
达尔文的进化论讲的是什么？,今天会出太阳吗
打开王俊凯的微博。,雪人兄弟游戏的声音
打开王俊凯的微博。,明天可以洗车吗
开启全景拍照模式。,小猪佩奇自我介绍
开启全景拍照模式。,查一下纽约后天天气怎么样
肠胃炎怎么办？,播放王菲的歌
肠胃炎怎么办？,帮妈妈叫个车从五道口去西直门
狼来了，猜一个水果。,最近热吗
狼来了，猜一个水果。,我想听张韶涵的歌
打开微信扫一扫付款100元。,你不是人造革
打开微信扫一扫付款100元。,今天几跟几限行
生肖猪，本月的运势如何？,易烊千玺的生日是哪天
生肖猪，本月的运势如何？,给我来张美女图片
现在工商银行的股价多少？,单田芳的评书
现在工商银行的股价多少？,帮我打开微博本地新闻
今天会出太阳吗？,你几岁了
今天会出太阳吗？,播放蕊希电台
雪人兄弟，游戏的声音。,六月一号是星期几
雪人兄弟，游戏的声音。,金牛座和处女座的缘分怎么样
明天可以洗车吗？,播放米小圈上学记
明天可以洗车吗？,白羊座是几月份
小猪佩奇自我介绍。,赖床的好处
小猪佩奇自我介绍。,关闭支付宝
查一下纽约后天天气怎么样？,属猪的和什么属相最配
查一下纽约后天天气怎么样？,讲个冷笑话
播放王菲的歌。,你会唱歌吗
播放王菲的歌。,生肖牛的特点
帮妈妈叫个车，从五道口去西直门。,九零年出生属什么
帮妈妈叫个车，从五道口去西直门。,上网搜一下王俊凯的照片
最近热吗？,我想去附近的星巴克
最近热吗？,鼻炎患者需要注意什么
我想听张韶涵的歌。,莲藕与什么食物相克
我想听张韶涵的歌。,开始刷机模式
你不是人造革。,搜索便签
你不是人造革。,用微信给爸发两张照片
今天几根几先行。,赵丽颖的星座
今天几根几先行。,发QQ给老爸说天气不错哦
易烊千玺的生日是哪天？,吃柚子有什么好处
易烊千玺的生日是哪天？,今天是阴历几月几号
给我来张美女图片。,北京外地车限行吗
给我来张美女图片。,锁屏
单田芳的评书。,用后置摄像头录像
单田芳的评书。,发朋友圈说我结婚啦
帮我打开微博本地新闻。,我想听摇滚歌曲
帮我打开微博本地新闻。,北京限行限几环
你几岁了？,熊猫基地几点开门
你几岁了？,怎么预防颈椎病
播放累计电台。,小米六配置怎么样
播放累计电台。,打开ofo扫一扫
6月1号是星期几？,帮我记一下
6月1号是星期几？,如何自己在家炸油条
金牛座和处女座的缘分怎么样？,香港有哪些必吃的美食
金牛座和处女座的缘分怎么样？,今天温度怎么样
播放米小圈上学记。,打车去五道口
播放米小圈上学记。,关闭热点
白羊座是几月份？,无名之辈
白羊座是几月份？,属龙的和属马的在一起好不好
赖床的好处。,中秋节是几月几号
赖床的好处。,双子座和什么星座最配
关闭支付宝。,查看妈妈的聊天记录
关闭支付宝。,这是什么
属猪的和什么属相最配？,西藏著名的景点有哪些
属猪的和什么属相最配？,看看600036股票当前的行情
讲个冷笑话。,王羲之的儿子
讲个冷笑话。,哈利波特系列
你会唱歌吗？,打开微信付款码
你会唱歌吗？,播放睡前音乐
生肖牛的特点。,来段经典相声
生肖牛的特点。,魂斗罗的声音
90年出生属什么？,布达拉宫要门票吗
90年出生属什么？,打开微信扫一扫
上网搜一下王俊凯的照片。,我想看漫威电影
上网搜一下王俊凯的照片。,郭德纲的综艺节目
我想去附近的星巴克。,吃什么可以安神
我想去附近的星巴克。,音量最大
鼻炎患者需要注意什么？,麦兜的声音
鼻炎患者需要注意什么？,我叫黑虎阿福你准备受死吧
莲藕与什么食物相克？,读一首古诗
莲藕与什么食物相克？,虹膜炎传染吗
开始刷机模式。,最美的告白
开始刷机模式。,用支付宝给爸转账一个亿
搜索便签。,爱琴海购物中心在哪里
搜索便签。,打开无线网络
用微信给我发两张照片。,明天星期几
用微信给我发两张照片。,池塘里有什么
赵丽颖的星座。,华府景园的物业费
赵丽颖的星座。,静音
发QQ给老爸说天气不错哦。,打败小猪佩奇的是谁
发QQ给老爸说天气不错哦。,生肖鼠和生肖牛的缘分怎么样
吃柚子有什么好处？,这是什么车
吃柚子有什么好处？,苹果用英语怎么说
今天是阴历几月几号？,我要听进击的段子
今天是阴历几月几号？,青莲居士是谁
北京外地车限行吗？,义勇军进行曲的作者是谁
