asr_result,correct_answer
汽车导航去东直门。,打开便签
调节音量到50。,属蛇的本月的事业运势
为你明灯3000。,八达岭长城票贵吗
蜡笔小新。,摇个硬币
明天的紫外线强吗？,双鱼座今日的幸运数字
昨天限行尾号。,唐人街探案是谁演的
播放跑车的声音。,我要自拍
有哪些关于天蝎座的神预测？,27岁是属什么的
双子座的性格怎么样？,下载王者荣耀
流感怎么预防？,搜搜文档丢了怎么办
有风油精的表情包吗？,我想知道属狗的今年的财运怎么样
姚明有多高？,一吨等于多少千克
打电话给中国联通。,打开相机设置
故宫的价格门票。,调高屏幕亮度
打开人像拍照模式。,用大众点评看一下我附近的美食
听歌。,最近上映的电影
你好小艾。,广东的美食推荐
我要听东北话。,我想看上周拍的照片
截屏照片。,打开wifi
打开微信小程序跳一跳。,识别邮箱地址
红烧肉怎么做？,病毒性感冒的传播途径
识别其中的电话。,海口今天可以穿什么衣服
净坛使者是谁？,搞笑的动态图
开启录像模式。,我想从中关村去天安门
用美团定个十点半的单位。,我要看海绵宝宝
最近空气质量如何？,我要骑摩拜单车
看小猪佩奇。,找壁纸
迪丽热巴的微博。,我想看小狗的图片
我的便签。,养胃的食材
早上好，怎么翻译？,搜索复仇者联盟的预告片
呼叫顺丰快递。,打开勿扰模式
导航去最近的加油站。,我要问诊
吃鸡教会了我们什么？,美好的一天用法语怎么说
来段广东话。,打开虚空引擎
我想看蒙面唱将猜猜猜。,孟子的国籍
继续播放。,我现在在哪里
天兆家园的开发商。,伦敦现在几点了
冰雪大世界的营业时间。,电视剧知否知否
农业银行目前的行情。,一美元等于多少人民币
天蝎座今日的运势如何？,搜搜胃一直疼怎么办
牙齿发酸怎么办？,关于天枰座的神预测
根号三加根号二等于多少？,打开支付宝付钱
我想给小李发QQ信息，说天气真好。,吃什么可以降火
播放一首唐诗。,男生不和女生吵架的真实原因
打开淘宝，天猫超市。,消灭奥特曼的计划
熊爸爸的十万个为什么？,给15201010101充100元话费
打开支付宝，查看转账记录。,来电音乐
水瓶座的优点有哪些？,打开ofo扫一扫
聊天。,你和我的倾城时光
打开京东发现。,几点了
锄禾日当午的下一句是什么？,你的妈妈是谁
出汗了。,吐槽大会第三季
韭菜适合与什么一起吃？,用嘀嘀打车去公司
打开热点。,早起的好处
最近有风吗？,用后置摄像头拍小视频
吃什么可以补钙？,骑车导航去东直门
我要看彭于晏图片。,调节音量到50
1米等于多少厘米？,为你明灯三千
微信查找妈妈。,蜡笔小新
端午节为什么要吃粽子？,明天的紫外线强吗
北冥有哈。,昨天限行尾号
播放电钻的声音。,播放跑车的声音
明天几点日出？,有哪些关于天蝎座的神预测
我想听民谣。,双子座的性格怎么样
打开便签。,流感怎么预防
属蛇的本月的事业运势。,有风油精的表情包吗
八达岭长城票贵吗？,姚明有多高
有个硬币。,打电话给中国联通
双鱼座今日的幸运数字。,故宫的价格门票
唐人街看是谁演的？,打开人像拍照模式
我要自拍。,听歌
27岁是属什么的？,你好小爱
下载王者荣耀。,我要听东北话
搜索闻到丢了怎么办？,截屏照片
我想知道属狗的，今年的财运怎么样？,打开微信小程序跳一跳
1吨等于多少克？,红烧肉怎么做
打开相机设置。,识别其中的电话
调高屏幕亮度。,净坛使者是谁
用大众点评看一下我附近的美食。,开启录像模式
最近上映的电影。,用美团定个十点半的餐位
广东的美食推荐。,最近空气质量如何
我想看上周拍的照片。,看小猪佩奇
打开WIFI。,迪丽热巴的微博
识别邮箱地址。,我的便签
病毒性感冒的传播途径。,早上好怎么翻译
海口今天可以穿什么衣服？,呼叫顺丰快递
搞笑的动态图。,导航去最近的加油站
我想从中关村去天安门。,吃鸡教会了我们什么
我要看海绵宝宝。,来段广东话
我要骑摩拜单车。,我想看蒙面唱将猜猜猜
找壁纸。,继续播放
我想看小狗的图片。,天兆家园的开发商
养胃的食材。,冰雪大世界的营业时间
搜索复仇者联盟的预告片。,农业银行目前的行情
打开勿扰模式。,天蝎座今天的运势如何
我要问诊。,牙齿发酸怎么办
美好的一天用法语怎么说？,根号3加根号2等于多少
打开虚空引擎。,我想给小李发QQ信息说天气真好
孟子的国籍。,播放一首唐诗
我现在在哪里？,打开淘宝天猫超市
伦敦现在几点了？,熊爸爸的十万个为什么
电视剧知否知否。,打开支付宝查看转账记录
一美元等于多少人民币？,水瓶座的优点有哪些
苏苏为一直疼，怎么办？,聊天
关于天秤座的神预测。,打开京东发现
打开支付宝的付钱。,查看微博本地新闻
吃什么可以降火？,锄禾日当午的下一句是什么
男生不和女生吵架的真实原因。,韭菜适合与什么一起吃
消灭奥特曼的计划。,打开热点
给15201010101充100元话费。,最近有风吗
来电音乐。,吃什么可以补钙
打开oy服务，扫一扫。,我要看彭于晏的图片
你和我的倾城时光。,一米等于多少厘米
几点了？,微信查找妈妈
你的妈妈是谁？,端午节为什么要吃粽子
吐槽大会第三季。,北冥有哈
用滴滴打车去公司。,播放电钻声音
早起的好处。,明天几点日出
用后置摄像头拍小视频。,我想听民谣
